enhancedWeatherDescription,extendedWeatherType,feelsLikeTemperatureC,feelsLikeTemperatureF,gustSpeedKph,gustSpeedMph,humidity,localDate,precipitationProbabilityInPercent,precipitationProbabilityText,pressure,temperatureC,temperatureF,timeslot,timeslotLength,visibility,weatherType,weatherTypeText,windDescription,windDirection,windDirectionAbbreviation,windDirectionFull,windSpeedKph,windSpeedMph,detailed.issueDate,detailed.lastUpdated,location_id,location_name
Sunny and a gentle breeze,1,28,82,34,21,51,2022-07-17,2,Low chance of precipitation,1024,25,77,11:00,1,Good,1,Sunny,A gentle breeze from the south east,SE,SE,South Easterly,20,12,2022-07-17T08:59:00+01:00,2022-07-17T10:01:19.964+01:00,2653822,Cardiff
Sunny intervals and a gentle breeze,3,29,84,34,21,46,2022-07-17,1,Low chance of precipitation,1024,26,79,12:00,1,Good,3,Sunny Intervals,A gentle breeze from the south east,SE,SE,South Easterly,20,12,2022-07-17T08:59:00+01:00,2022-07-17T10:01:19.964+01:00,2653822,Cardiff
Sunny intervals and a moderate breeze,3,30,85,34,21,42,2022-07-17,1,Low chance of precipitation,1024,27,81,13:00,1,Good,3,Sunny Intervals,A moderate breeze from the south south east,SSE,SSE,South South Easterly,21,13,2022-07-17T08:59:00+01:00,2022-07-17T10:01:19.964+01:00,2653822,Cardiff
Sunny intervals and a moderate breeze,3,30,87,34,21,40,2022-07-17,0,Precipitation is not expected,1024,28,82,14:00,1,Good,3,Sunny Intervals,A moderate breeze from the south south east,SSE,SSE,South South Easterly,20,13,2022-07-17T08:59:00+01:00,2022-07-17T10:01:19.964+01:00,2653822,Cardiff
Sunny and a gentle breeze,1,30,86,34,21,38,2022-07-17,0,Precipitation is not expected,1023,28,82,15:00,1,Good,1,Sunny,A gentle breeze from the south south east,SSE,SSE,South South Easterly,20,12,2022-07-17T08:59:00+01:00,2022-07-17T10:01:19.964+01:00,2653822,Cardiff
Sunny and a gentle breeze,1,30,85,34,21,36,2022-07-17,1,Low chance of precipitation,1023,28,82,16:00,1,Good,1,Sunny,A gentle breeze from the south south east,SSE,SSE,South South Easterly,19,12,2022-07-17T08:59:00+01:00,2022-07-17T10:01:19.964+01:00,2653822,Cardiff
Sunny and a gentle breeze,1,29,85,34,21,35,2022-07-17,0,Precipitation is not expected,1023,28,82,17:00,1,Good,1,Sunny,A gentle breeze from the south,S,S,Southerly,17,11,2022-07-17T08:59:00+01:00,2022-07-17T10:01:19.964+01:00,2653822,Cardiff
Sunny and a gentle breeze,1,29,84,33,20,35,2022-07-17,0,Precipitation is not expected,1022,28,82,18:00,1,Good,1,Sunny,A gentle breeze from the south,S,S,Southerly,15,10,2022-07-17T08:59:00+01:00,2022-07-17T10:01:19.964+01:00,2653822,Cardiff
Sunny intervals and a gentle breeze,3,28,82,29,18,35,2022-07-17,0,Precipitation is not expected,1022,27,80,19:00,1,Good,3,Sunny Intervals,A gentle breeze from the south,S,S,Southerly,14,8,2022-07-17T08:59:00+01:00,2022-07-17T10:01:19.964+01:00,2653822,Cardiff
Sunny intervals and a gentle breeze,3,27,80,22,14,39,2022-07-17,1,Low chance of precipitation,1022,25,77,20:00,1,Good,3,Sunny Intervals,A gentle breeze from the south,S,S,Southerly,12,8,2022-07-17T08:59:00+01:00,2022-07-17T10:01:19.964+01:00,2653822,Cardiff
Sunny intervals and light winds,3,25,77,18,11,45,2022-07-17,1,Low chance of precipitation,1022,23,74,21:00,1,Good,3,Sunny Intervals,Light winds from the south south east,SSE,SSE,South South Easterly,12,7,2022-07-17T08:59:00+01:00,2022-07-17T10:01:19.964+01:00,2653822,Cardiff
Partly cloudy and light winds,2,23,73,17,10,53,2022-07-17,1,Low chance of precipitation,1022,21,71,22:00,1,Good,2,Partly Cloudy,Light winds from the south south east,SSE,SSE,South South Easterly,12,7,2022-07-17T08:59:00+01:00,2022-07-17T10:01:19.964+01:00,2653822,Cardiff
Partly cloudy and light winds,2,22,71,18,11,57,2022-07-17,1,Low chance of precipitation,1022,20,69,23:00,1,Good,2,Partly Cloudy,Light winds from the south east,SE,SE,South Easterly,11,7,2022-07-17T08:59:00+01:00,2022-07-17T10:01:19.964+01:00,2653822,Cardiff
Partly cloudy and light winds,2,21,71,18,11,60,2022-07-18,0,Precipitation is not expected,1022,20,68,00:00,1,Good,2,Partly Cloudy,Light winds from the south east,SE,SE,South Easterly,10,6,2022-07-17T08:59:00+01:00,2022-07-17T10:01:19.964+01:00,2653822,Cardiff
