enhancedWeatherDescription,extendedWeatherType,feelsLikeTemperatureC,feelsLikeTemperatureF,gustSpeedKph,gustSpeedMph,humidity,localDate,precipitationProbabilityInPercent,precipitationProbabilityText,pressure,temperatureC,temperatureF,timeslot,timeslotLength,visibility,weatherType,weatherTypeText,windDescription,windDirection,windDirectionAbbreviation,windDirectionFull,windSpeedKph,windSpeedMph,detailed.issueDate,detailed.lastUpdated,location_id,location_name
Sunny intervals and a gentle breeze,3,28,82,27,17,38,2022-07-17,0,Precipitation is not expected,1026,26,79,11:00,1,Good,3,Sunny Intervals,A gentle breeze from the south south east,SSE,SSE,South South Easterly,13,8,2022-07-17T08:59:00+01:00,2022-07-17T10:00:28.129+01:00,2634341,City of Westminster
Sunny intervals and a gentle breeze,3,29,85,28,17,33,2022-07-17,1,Low chance of precipitation,1026,28,82,12:00,1,Good,3,Sunny Intervals,A gentle breeze from the south south east,SSE,SSE,South South Easterly,14,9,2022-07-17T08:59:00+01:00,2022-07-17T10:00:28.129+01:00,2634341,City of Westminster
Sunny intervals and a gentle breeze,3,30,86,29,18,30,2022-07-17,1,Low chance of precipitation,1025,29,84,13:00,1,Good,3,Sunny Intervals,A gentle breeze from the south south east,SSE,SSE,South South Easterly,14,9,2022-07-17T08:59:00+01:00,2022-07-17T10:00:28.129+01:00,2634341,City of Westminster
Sunny intervals and a gentle breeze,3,31,87,29,18,28,2022-07-17,1,Low chance of precipitation,1025,30,86,14:00,1,Good,3,Sunny Intervals,A gentle breeze from the south,S,S,Southerly,15,9,2022-07-17T08:59:00+01:00,2022-07-17T10:00:28.129+01:00,2634341,City of Westminster
Sunny intervals and a gentle breeze,3,31,88,29,18,26,2022-07-17,1,Low chance of precipitation,1024,31,87,15:00,1,Good,3,Sunny Intervals,A gentle breeze from the south,S,S,Southerly,15,9,2022-07-17T08:59:00+01:00,2022-07-17T10:00:28.129+01:00,2634341,City of Westminster
Sunny intervals and a gentle breeze,3,31,88,30,19,26,2022-07-17,0,Precipitation is not expected,1024,31,87,16:00,1,Good,3,Sunny Intervals,A gentle breeze from the south,S,S,Southerly,15,9,2022-07-17T08:59:00+01:00,2022-07-17T10:00:28.129+01:00,2634341,City of Westminster
Sunny and a gentle breeze,1,31,88,30,19,26,2022-07-17,1,Low chance of precipitation,1023,31,87,17:00,1,Good,1,Sunny,A gentle breeze from the south,S,S,Southerly,14,9,2022-07-17T08:59:00+01:00,2022-07-17T10:00:28.129+01:00,2634341,City of Westminster
Sunny and a gentle breeze,1,31,87,29,18,26,2022-07-17,1,Low chance of precipitation,1023,30,86,18:00,1,Good,1,Sunny,A gentle breeze from the south,S,S,Southerly,14,9,2022-07-17T08:59:00+01:00,2022-07-17T10:00:28.129+01:00,2634341,City of Westminster
Sunny and a gentle breeze,1,30,85,27,17,28,2022-07-17,1,Low chance of precipitation,1023,29,84,19:00,1,Good,1,Sunny,A gentle breeze from the south,S,S,Southerly,14,8,2022-07-17T08:59:00+01:00,2022-07-17T10:00:28.129+01:00,2634341,City of Westminster
Sunny and light winds,1,29,83,25,16,30,2022-07-17,0,Precipitation is not expected,1023,28,82,20:00,1,Good,1,Sunny,Light winds from the south south east,SSE,SSE,South South Easterly,12,7,2022-07-17T08:59:00+01:00,2022-07-17T10:00:28.129+01:00,2634341,City of Westminster
Sunny and light winds,1,27,80,23,14,33,2022-07-17,1,Low chance of precipitation,1023,26,79,21:00,1,Good,1,Sunny,Light winds from the south south east,SSE,SSE,South South Easterly,9,6,2022-07-17T08:59:00+01:00,2022-07-17T10:00:28.129+01:00,2634341,City of Westminster
A clear sky and light winds,0,25,77,20,13,35,2022-07-17,1,Low chance of precipitation,1023,25,76,22:00,1,Good,0,Clear Sky,Light winds from the south south east,SSE,SSE,South South Easterly,8,5,2022-07-17T08:59:00+01:00,2022-07-17T10:00:28.129+01:00,2634341,City of Westminster
A clear sky and light winds,0,24,75,17,11,39,2022-07-17,0,Precipitation is not expected,1023,23,74,23:00,1,Good,0,Clear Sky,Light winds from the south south east,SSE,SSE,South South Easterly,7,5,2022-07-17T08:59:00+01:00,2022-07-17T10:00:28.129+01:00,2634341,City of Westminster
A clear sky and light winds,0,23,74,16,10,44,2022-07-18,0,Precipitation is not expected,1023,22,72,00:00,1,Good,0,Clear Sky,Light winds from the south east,SE,SE,South Easterly,7,5,2022-07-17T08:59:00+01:00,2022-07-17T10:00:28.129+01:00,2634341,City of Westminster
A clear sky and light winds,0,22,72,15,9,48,2022-07-18,0,Precipitation is not expected,1022,21,71,01:00,1,Good,0,Clear Sky,Light winds from the south east,SE,SE,South Easterly,7,4,2022-07-17T08:59:00+01:00,2022-07-17T10:00:28.129+01:00,2634341,City of Westminster
Partly cloudy and light winds,2,22,71,13,8,52,2022-07-18,0,Precipitation is not expected,1022,21,69,02:00,1,Good,2,Partly Cloudy,Light winds from the south south east,SSE,SSE,South South Easterly,6,4,2022-07-17T08:59:00+01:00,2022-07-17T10:00:28.129+01:00,2634341,City of Westminster
Partly cloudy and light winds,2,21,70,12,7,56,2022-07-18,0,Precipitation is not expected,1022,20,68,03:00,1,Good,2,Partly Cloudy,Light winds from the south south east,SSE,SSE,South South Easterly,5,3,2022-07-17T08:59:00+01:00,2022-07-17T10:00:28.129+01:00,2634341,City of Westminster
Partly cloudy and light winds,2,21,70,12,7,59,2022-07-18,0,Precipitation is not expected,1021,20,67,04:00,1,Good,2,Partly Cloudy,Light winds from the south,S,S,Southerly,5,3,2022-07-17T08:59:00+01:00,2022-07-17T10:00:28.129+01:00,2634341,City of Westminster
Partly cloudy and light winds,2,21,69,13,8,59,2022-07-18,1,Low chance of precipitation,1021,20,67,05:00,1,Good,2,Partly Cloudy,Light winds from the south,S,S,Southerly,5,3,2022-07-17T08:59:00+01:00,2022-07-17T10:00:28.129+01:00,2634341,City of Westminster
Sunny intervals and light winds,3,21,70,15,9,58,2022-07-18,1,Low chance of precipitation,1021,20,68,06:00,1,Good,3,Sunny Intervals,Light winds from the south,S,S,Southerly,5,3,2022-07-17T08:59:00+01:00,2022-07-17T10:00:28.129+01:00,2634341,City of Westminster
Sunny and light winds,1,22,72,16,10,55,2022-07-18,1,Low chance of precipitation,1021,21,70,07:00,1,Good,1,Sunny,Light winds from the south,S,S,Southerly,6,4,2022-07-17T08:59:00+01:00,2022-07-17T10:00:28.129+01:00,2634341,City of Westminster
Sunny and light winds,1,25,77,19,12,49,2022-07-18,2,Low chance of precipitation,1021,23,74,08:00,1,Good,1,Sunny,Light winds from the south,S,S,Southerly,8,5,2022-07-17T08:59:00+01:00,2022-07-17T10:00:28.129+01:00,2634341,City of Westminster
Sunny and light winds,1,29,83,22,13,42,2022-07-18,3,Low chance of precipitation,1020,26,79,09:00,1,Good,1,Sunny,Light winds from the south south west,SSW,SSW,South South Westerly,9,6,2022-07-17T08:59:00+01:00,2022-07-17T10:00:28.129+01:00,2634341,City of Westminster
Sunny and light winds,1,32,89,24,15,35,2022-07-18,2,Low chance of precipitation,1020,29,85,10:00,1,Good,1,Sunny,Light winds from the south south west,SSW,SSW,South South Westerly,11,7,2022-07-17T08:59:00+01:00,2022-07-17T10:00:28.129+01:00,2634341,City of Westminster
Sunny and a gentle breeze,1,34,93,26,16,29,2022-07-18,1,Low chance of precipitation,1020,32,90,11:00,1,Good,1,Sunny,A gentle breeze from the south south west,SSW,SSW,South South Westerly,12,8,2022-07-17T08:59:00+01:00,2022-07-17T10:00:28.129+01:00,2634341,City of Westminster
Sunny and a gentle breeze,1,35,95,27,17,24,2022-07-18,1,Low chance of precipitation,1020,34,93,12:00,1,Good,1,Sunny,A gentle breeze from the south south west,SSW,SSW,South South Westerly,13,8,2022-07-17T08:59:00+01:00,2022-07-17T10:00:28.129+01:00,2634341,City of Westminster
Sunny and a gentle breeze,1,36,97,28,17,22,2022-07-18,1,Low chance of precipitation,1020,35,95,13:00,1,Good,1,Sunny,A gentle breeze from the south south west,SSW,SSW,South South Westerly,14,8,2022-07-17T08:59:00+01:00,2022-07-17T10:00:28.129+01:00,2634341,City of Westminster
Sunny and a gentle breeze,1,37,99,29,18,20,2022-07-18,1,Low chance of precipitation,1019,36,97,14:00,1,Good,1,Sunny,A gentle breeze from the south south west,SSW,SSW,South South Westerly,14,9,2022-07-17T08:59:00+01:00,2022-07-17T10:00:28.129+01:00,2634341,City of Westminster
Sunny and a gentle breeze,1,38,100,30,19,18,2022-07-18,1,Low chance of precipitation,1019,37,99,15:00,1,Good,1,Sunny,A gentle breeze from the south south west,SSW,SSW,South South Westerly,14,9,2022-07-17T08:59:00+01:00,2022-07-17T10:00:28.129+01:00,2634341,City of Westminster
Sunny and a gentle breeze,1,38,101,30,18,18,2022-07-18,0,Precipitation is not expected,1018,38,100,16:00,1,Good,1,Sunny,A gentle breeze from the south south west,SSW,SSW,South South Westerly,15,9,2022-07-17T08:59:00+01:00,2022-07-17T10:00:28.129+01:00,2634341,City of Westminster
Sunny and a gentle breeze,1,39,101,29,18,17,2022-07-18,0,Precipitation is not expected,1018,38,100,17:00,1,Good,1,Sunny,A gentle breeze from the south,S,S,Southerly,14,9,2022-07-17T08:59:00+01:00,2022-07-17T10:00:28.129+01:00,2634341,City of Westminster
Sunny and a gentle breeze,1,38,101,27,17,18,2022-07-18,0,Precipitation is not expected,1017,38,100,18:00,1,Good,1,Sunny,A gentle breeze from the south,S,S,Southerly,14,9,2022-07-17T08:59:00+01:00,2022-07-17T10:00:28.129+01:00,2634341,City of Westminster
Sunny and a gentle breeze,1,37,99,26,16,19,2022-07-18,0,Precipitation is not expected,1017,36,97,19:00,1,Good,1,Sunny,A gentle breeze from the south,S,S,Southerly,13,8,2022-07-17T08:59:00+01:00,2022-07-17T10:00:28.129+01:00,2634341,City of Westminster
Sunny and light winds,1,35,95,23,14,22,2022-07-18,1,Low chance of precipitation,1017,34,94,20:00,1,Good,1,Sunny,Light winds from the south south east,SSE,SSE,South South Easterly,12,7,2022-07-17T08:59:00+01:00,2022-07-17T10:00:28.129+01:00,2634341,City of Westminster
Sunny and light winds,1,33,92,21,13,26,2022-07-18,1,Low chance of precipitation,1017,32,90,21:00,1,Good,1,Sunny,Light winds from the south south east,SSE,SSE,South South Easterly,9,6,2022-07-17T08:59:00+01:00,2022-07-17T10:00:28.129+01:00,2634341,City of Westminster
