enhancedWeatherDescription,extendedWeatherType,feelsLikeTemperatureC,feelsLikeTemperatureF,gustSpeedKph,gustSpeedMph,humidity,localDate,precipitationProbabilityInPercent,precipitationProbabilityText,pressure,temperatureC,temperatureF,timeslot,timeslotLength,visibility,weatherType,weatherTypeText,windDescription,windDirection,windDirectionAbbreviation,windDirectionFull,windSpeedKph,windSpeedMph,issueDate,lastUpdated,location_id,location_name
Sunny and light winds,1,20,67,28,18,51,2024-09-16,0,Precipitation is not expected,1029,19,66,18:00,1,Good,1,Sunny,Light winds from the north north east,NNE,NNE,North North Easterly,12,7,2024-09-16T10:46:00+01:00,2024-09-16T17:00:08.996+01:00,2634341,City of Westminster
Sunny and a gentle breeze,1,18,64,26,16,56,2024-09-16,0,Precipitation is not expected,1029,18,64,19:00,1,Good,1,Sunny,A gentle breeze from the north north east,NNE,NNE,North North Easterly,12,8,2024-09-16T10:46:00+01:00,2024-09-16T17:00:08.996+01:00,2634341,City of Westminster
A clear sky and light winds,0,17,62,25,16,63,2024-09-16,0,Precipitation is not expected,1030,16,61,20:00,1,Good,0,Clear Sky,Light winds from the north north east,NNE,NNE,North North Easterly,11,7,2024-09-16T10:46:00+01:00,2024-09-16T17:00:08.996+01:00,2634341,City of Westminster
A clear sky and light winds,0,15,60,23,14,69,2024-09-16,0,Precipitation is not expected,1030,15,59,21:00,1,Good,0,Clear Sky,Light winds from the north north east,NNE,NNE,North North Easterly,11,7,2024-09-16T10:46:00+01:00,2024-09-16T17:00:08.996+01:00,2634341,City of Westminster
A clear sky and light winds,0,14,58,24,15,73,2024-09-16,0,Precipitation is not expected,1031,14,58,22:00,1,Good,0,Clear Sky,Light winds from the north east,NE,NE,North Easterly,11,7,2024-09-16T10:46:00+01:00,2024-09-16T17:00:08.996+01:00,2634341,City of Westminster
A clear sky and light winds,0,13,56,21,13,79,2024-09-16,0,Precipitation is not expected,1031,13,56,23:00,1,Good,0,Clear Sky,Light winds from the north east,NE,NE,North Easterly,11,7,2024-09-16T10:46:00+01:00,2024-09-16T17:00:08.996+01:00,2634341,City of Westminster
A clear sky and light winds,0,13,55,19,12,83,2024-09-17,0,Precipitation is not expected,1031,13,55,00:00,1,Good,0,Clear Sky,Light winds from the north north east,NNE,NNE,North North Easterly,10,6,2024-09-16T10:46:00+01:00,2024-09-16T17:00:08.996+01:00,2634341,City of Westminster
A clear sky and light winds,0,12,53,19,12,87,2024-09-17,0,Precipitation is not expected,1031,12,53,01:00,1,Good,0,Clear Sky,Light winds from the north north east,NNE,NNE,North North Easterly,9,5,2024-09-16T10:46:00+01:00,2024-09-16T17:00:08.996+01:00,2634341,City of Westminster
A clear sky and light winds,0,11,52,19,12,89,2024-09-17,0,Precipitation is not expected,1031,11,53,02:00,1,Good,0,Clear Sky,Light winds from the north north east,NNE,NNE,North North Easterly,11,7,2024-09-16T10:46:00+01:00,2024-09-16T17:00:08.996+01:00,2634341,City of Westminster
A clear sky and light winds,0,11,51,20,12,91,2024-09-17,0,Precipitation is not expected,1031,11,52,03:00,1,Good,0,Clear Sky,Light winds from the north north east,NNE,NNE,North North Easterly,9,6,2024-09-16T10:46:00+01:00,2024-09-16T17:00:08.996+01:00,2634341,City of Westminster
A clear sky and light winds,0,11,51,22,14,90,2024-09-17,0,Precipitation is not expected,1030,11,52,04:00,1,Good,0,Clear Sky,Light winds from the north north east,NNE,NNE,North North Easterly,10,6,2024-09-16T10:46:00+01:00,2024-09-16T17:00:08.996+01:00,2634341,City of Westminster
