enhancedWeatherDescription,extendedWeatherType,feelsLikeTemperatureC,feelsLikeTemperatureF,gustSpeedKph,gustSpeedMph,humidity,localDate,precipitationProbabilityInPercent,precipitationProbabilityText,pressure,temperatureC,temperatureF,timeslot,timeslotLength,visibility,weatherType,weatherTypeText,windDescription,windDirection,windDirectionAbbreviation,windDirectionFull,windSpeedKph,windSpeedMph,issueDate,lastUpdated,location_id,location_name
Light cloud and light winds,36,9,49,21,13,91,2023-11-19,12,Low chance of precipitation,997,10,50,17:00,1,Good,7,Light Cloud,Light winds from the south west,SW,SW,South Westerly,11,7,2023-11-19T09:57:00+00:00,2023-11-19T16:00:46.822Z,2650225,Edinburgh
Light cloud and light winds,36,9,48,21,13,94,2023-11-19,15,Low chance of precipitation,998,10,49,18:00,1,Good,7,Light Cloud,Light winds from the south west,SW,SW,South Westerly,12,7,2023-11-19T09:57:00+00:00,2023-11-19T16:00:46.822Z,2650225,Edinburgh
Light cloud and light winds,36,9,47,21,13,95,2023-11-19,20,Low chance of precipitation,999,10,49,19:00,1,Good,7,Light Cloud,Light winds from the south west,SW,SW,South Westerly,12,7,2023-11-19T09:57:00+00:00,2023-11-19T16:00:46.822Z,2650225,Edinburgh
Light cloud and light winds,36,9,47,20,13,95,2023-11-19,28,Low chance of precipitation,999,9,49,20:00,1,Good,7,Light Cloud,Light winds from the south west,SW,SW,South Westerly,11,7,2023-11-19T09:57:00+00:00,2023-11-19T16:00:46.822Z,2650225,Edinburgh
Light rain and light winds,39,9,47,20,13,96,2023-11-19,47,Chance of precipitation,999,9,49,21:00,1,Good,12,Light Rain,Light winds from the south west,SW,SW,South Westerly,11,7,2023-11-19T09:57:00+00:00,2023-11-19T16:00:46.822Z,2650225,Edinburgh
Light rain showers and light winds,9,8,47,22,14,96,2023-11-19,42,Chance of precipitation,1000,9,49,22:00,1,Good,9,Light Rain Showers,Light winds from the west south west,WSW,WSW,West South Westerly,11,7,2023-11-19T09:57:00+00:00,2023-11-19T16:00:46.822Z,2650225,Edinburgh
Light rain showers and light winds,9,8,47,23,14,96,2023-11-19,43,Chance of precipitation,1000,9,49,23:00,1,Good,9,Light Rain Showers,Light winds from the west south west,WSW,WSW,West South Westerly,10,6,2023-11-19T09:57:00+00:00,2023-11-19T16:00:46.822Z,2650225,Edinburgh
Light rain showers and light winds,9,8,47,24,15,97,2023-11-20,36,Chance of precipitation,1000,9,48,00:00,1,Good,9,Light Rain Showers,Light winds from the west south west,WSW,WSW,West South Westerly,10,6,2023-11-19T09:57:00+00:00,2023-11-19T16:00:46.822Z,2650225,Edinburgh
Light rain showers and light winds,9,8,47,24,15,97,2023-11-20,31,Chance of precipitation,1000,9,48,01:00,1,Good,9,Light Rain Showers,Light winds from the west south west,WSW,WSW,West South Westerly,10,6,2023-11-19T09:57:00+00:00,2023-11-19T16:00:46.822Z,2650225,Edinburgh
Light cloud and light winds,36,8,46,25,15,97,2023-11-20,27,Low chance of precipitation,1001,9,48,02:00,1,Good,7,Light Cloud,Light winds from the west south west,WSW,WSW,West South Westerly,11,7,2023-11-19T09:57:00+00:00,2023-11-19T16:00:46.822Z,2650225,Edinburgh
