enhancedWeatherDescription,extendedWeatherType,feelsLikeTemperatureC,feelsLikeTemperatureF,gustSpeedKph,gustSpeedMph,humidity,localDate,precipitationProbabilityInPercent,precipitationProbabilityText,pressure,temperatureC,temperatureF,timeslot,timeslotLength,visibility,weatherType,weatherTypeText,windDescription,windDirection,windDirectionAbbreviation,windDirectionFull,windSpeedKph,windSpeedMph,detailed.issueDate,detailed.lastUpdated,location_id,location_name
Sunny intervals and light winds,3,19,65,15,9,63,2022-07-17,0,Precipitation is not expected,1027,18,64,07:00,1,Good,3,Sunny Intervals,Light winds from the south east,SE,SE,South Easterly,6,4,2022-07-16T22:53:00+01:00,2022-07-17T06:02:44.514+01:00,2643743,Greater London
Sunny and light winds,1,21,70,19,12,58,2022-07-17,1,Low chance of precipitation,1027,20,67,08:00,1,Good,1,Sunny,Light winds from the south east,SE,SE,South Easterly,7,5,2022-07-16T22:53:00+01:00,2022-07-17T06:02:44.514+01:00,2643743,Greater London
Sunny and light winds,1,24,75,22,14,50,2022-07-17,2,Low chance of precipitation,1027,22,72,09:00,1,Good,1,Sunny,Light winds from the south south east,SSE,SSE,South South Easterly,9,6,2022-07-16T22:53:00+01:00,2022-07-17T06:02:44.514+01:00,2643743,Greater London
Sunny and light winds,1,27,80,25,15,42,2022-07-17,2,Low chance of precipitation,1027,25,77,10:00,1,Good,1,Sunny,Light winds from the south south east,SSE,SSE,South South Easterly,11,7,2022-07-16T22:53:00+01:00,2022-07-17T06:02:44.514+01:00,2643743,Greater London
Sunny and a gentle breeze,1,28,83,26,16,36,2022-07-17,1,Low chance of precipitation,1026,27,80,11:00,1,Good,1,Sunny,A gentle breeze from the south south east,SSE,SSE,South South Easterly,12,8,2022-07-16T22:53:00+01:00,2022-07-17T06:02:44.514+01:00,2643743,Greater London
Sunny and a gentle breeze,1,29,85,27,17,32,2022-07-17,1,Low chance of precipitation,1026,28,83,12:00,1,Good,1,Sunny,A gentle breeze from the south south east,SSE,SSE,South South Easterly,13,8,2022-07-16T22:53:00+01:00,2022-07-17T06:02:44.514+01:00,2643743,Greater London
Sunny and a gentle breeze,1,30,87,29,18,29,2022-07-17,2,Low chance of precipitation,1026,29,85,13:00,1,Good,1,Sunny,A gentle breeze from the south south east,SSE,SSE,South South Easterly,14,9,2022-07-16T22:53:00+01:00,2022-07-17T06:02:44.514+01:00,2643743,Greater London
Sunny and a gentle breeze,1,31,88,30,19,26,2022-07-17,2,Low chance of precipitation,1025,30,87,14:00,1,Good,1,Sunny,A gentle breeze from the south south east,SSE,SSE,South South Easterly,14,9,2022-07-16T22:53:00+01:00,2022-07-17T06:02:44.514+01:00,2643743,Greater London
Sunny and a gentle breeze,1,32,89,31,19,24,2022-07-17,1,Low chance of precipitation,1024,31,88,15:00,1,Good,1,Sunny,A gentle breeze from the south south east,SSE,SSE,South South Easterly,15,9,2022-07-16T22:53:00+01:00,2022-07-17T06:02:44.514+01:00,2643743,Greater London
Sunny and a gentle breeze,1,32,89,31,19,23,2022-07-17,1,Low chance of precipitation,1024,31,89,16:00,1,Good,1,Sunny,A gentle breeze from the south,S,S,Southerly,16,10,2022-07-16T22:53:00+01:00,2022-07-17T06:02:44.514+01:00,2643743,Greater London
