enhancedWeatherDescription,extendedWeatherType,feelsLikeTemperatureC,feelsLikeTemperatureF,gustSpeedKph,gustSpeedMph,humidity,localDate,precipitationProbabilityInPercent,precipitationProbabilityText,pressure,temperatureC,temperatureF,timeslot,timeslotLength,visibility,weatherType,weatherTypeText,windDescription,windDirection,windDirectionAbbreviation,windDirectionFull,windSpeedKph,windSpeedMph,issueDate,lastUpdated,location_id,location_name
Light rain and light winds,12,10,49,18,11,94,2023-11-20,73,High chance of precipitation,1007,9,49,09:00,1,Moderate,12,Light Rain,Light winds from the south east,SE,SE,South Easterly,5,3,2023-11-19T21:53:00+00:00,2023-11-20T08:02:02.039Z,2643743,Greater London
Drizzle and light winds,11,10,49,20,13,93,2023-11-20,36,Chance of precipitation,1007,10,50,10:00,1,Good,11,Drizzle,Light winds from the north,N,N,Northerly,8,5,2023-11-19T21:53:00+00:00,2023-11-20T08:02:02.039Z,2643743,Greater London
Light cloud and light winds,7,10,51,24,15,87,2023-11-20,11,Low chance of precipitation,1007,11,52,11:00,1,Good,7,Light Cloud,Light winds from the north north west,NNW,NNW,North North Westerly,11,7,2023-11-19T21:53:00+00:00,2023-11-20T08:02:02.039Z,2643743,Greater London
Sunny intervals and a gentle breeze,3,11,51,27,17,82,2023-11-20,0,Precipitation is not expected,1007,11,53,12:00,1,Good,3,Sunny Intervals,A gentle breeze from the north west,NW,NW,North Westerly,14,9,2023-11-19T21:53:00+00:00,2023-11-20T08:02:02.039Z,2643743,Greater London
Sunny intervals and a gentle breeze,3,11,51,24,15,79,2023-11-20,0,Precipitation is not expected,1007,12,53,13:00,1,Good,3,Sunny Intervals,A gentle breeze from the north west,NW,NW,North Westerly,15,9,2023-11-19T21:53:00+00:00,2023-11-20T08:02:02.039Z,2643743,Greater London
Sunny intervals and a gentle breeze,3,11,52,26,16,76,2023-11-20,0,Precipitation is not expected,1008,12,53,14:00,1,Good,3,Sunny Intervals,A gentle breeze from the north west,NW,NW,North Westerly,14,9,2023-11-19T21:53:00+00:00,2023-11-20T08:02:02.039Z,2643743,Greater London
Sunny intervals and a gentle breeze,3,11,51,22,14,76,2023-11-20,0,Precipitation is not expected,1008,12,53,15:00,1,Good,3,Sunny Intervals,A gentle breeze from the west north west,WNW,WNW,West North Westerly,12,8,2023-11-19T21:53:00+00:00,2023-11-20T08:02:02.039Z,2643743,Greater London
Light cloud and light winds,7,10,51,20,13,80,2023-11-20,0,Precipitation is not expected,1009,11,52,16:00,1,Good,7,Light Cloud,Light winds from the west north west,WNW,WNW,West North Westerly,11,7,2023-11-19T21:53:00+00:00,2023-11-20T08:02:02.039Z,2643743,Greater London
Light cloud and light winds,36,10,50,20,13,85,2023-11-20,0,Precipitation is not expected,1009,11,51,17:00,1,Good,7,Light Cloud,Light winds from the west north west,WNW,WNW,West North Westerly,10,6,2023-11-19T21:53:00+00:00,2023-11-20T08:02:02.039Z,2643743,Greater London
Thick cloud and light winds,37,9,49,22,14,88,2023-11-20,0,Precipitation is not expected,1010,10,50,18:00,1,Good,8,Thick Cloud,Light winds from the west north west,WNW,WNW,West North Westerly,10,6,2023-11-19T21:53:00+00:00,2023-11-20T08:02:02.039Z,2643743,Greater London
Thick cloud and light winds,37,10,49,26,16,90,2023-11-20,0,Precipitation is not expected,1011,10,51,19:00,1,Good,8,Thick Cloud,Light winds from the west north west,WNW,WNW,West North Westerly,10,6,2023-11-19T21:53:00+00:00,2023-11-20T08:02:02.039Z,2643743,Greater London
Thick cloud and light winds,37,9,49,27,17,91,2023-11-20,20,Low chance of precipitation,1011,10,50,20:00,1,Good,8,Thick Cloud,Light winds from the west north west,WNW,WNW,West North Westerly,11,7,2023-11-19T21:53:00+00:00,2023-11-20T08:02:02.039Z,2643743,Greater London
Light cloud and light winds,36,9,49,27,17,91,2023-11-20,0,Precipitation is not expected,1012,10,50,21:00,1,Good,7,Light Cloud,Light winds from the north west,NW,NW,North Westerly,12,7,2023-11-19T21:53:00+00:00,2023-11-20T08:02:02.039Z,2643743,Greater London
Light rain showers and light winds,9,9,49,27,17,92,2023-11-20,44,Chance of precipitation,1012,10,50,22:00,1,Good,9,Light Rain Showers,Light winds from the north west,NW,NW,North Westerly,12,7,2023-11-19T21:53:00+00:00,2023-11-20T08:02:02.039Z,2643743,Greater London
