enhancedWeatherDescription,extendedWeatherType,feelsLikeTemperatureC,feelsLikeTemperatureF,gustSpeedKph,gustSpeedMph,humidity,localDate,precipitationProbabilityInPercent,precipitationProbabilityText,pressure,temperatureC,temperatureF,timeslot,timeslotLength,visibility,weatherType,weatherTypeText,windDescription,windDirection,windDirectionAbbreviation,windDirectionFull,windSpeedKph,windSpeedMph,detailed.issueDate,detailed.lastUpdated,location_id,location_name
Sunny intervals and a gentle breeze,3,44,111,40,25,42,2022-07-17,0,Precipitation is not expected,1004,36,97,12:00,1,Good,3,Sunny Intervals,A gentle breeze from the west north west,WNW,WNW,West North Westerly,19,12,2022-07-17T00:00:00+03:00,2022-07-17T11:02:11.748+03:00,105343,Jeddah
Sunny intervals and a moderate breeze,3,44,111,39,25,40,2022-07-17,0,Precipitation is not expected,1004,36,97,13:00,1,Good,3,Sunny Intervals,A moderate breeze from the west north west,WNW,WNW,West North Westerly,21,13,2022-07-17T00:00:00+03:00,2022-07-17T11:02:11.748+03:00,105343,Jeddah
Sunny intervals and a moderate breeze,3,44,111,38,24,38,2022-07-17,0,Precipitation is not expected,1004,37,98,14:00,1,Good,3,Sunny Intervals,A moderate breeze from the west north west,WNW,WNW,West North Westerly,20,13,2022-07-17T00:00:00+03:00,2022-07-17T11:02:11.748+03:00,105343,Jeddah
Sunny intervals and a gentle breeze,3,43,110,38,23,37,2022-07-17,0,Precipitation is not expected,1003,36,97,15:00,1,Good,3,Sunny Intervals,A gentle breeze from the west north west,WNW,WNW,West North Westerly,20,12,2022-07-17T00:00:00+03:00,2022-07-17T11:02:11.748+03:00,105343,Jeddah
Sunny and a gentle breeze,1,43,109,36,22,36,2022-07-17,0,Precipitation is not expected,1003,36,97,16:00,1,Good,1,Sunny,A gentle breeze from the west north west,WNW,WNW,West North Westerly,18,11,2022-07-17T00:00:00+03:00,2022-07-17T11:02:11.748+03:00,105343,Jeddah
Sunny and a gentle breeze,1,42,108,34,21,35,2022-07-17,0,Precipitation is not expected,1002,36,97,17:00,1,Good,1,Sunny,A gentle breeze from the north west,NW,NW,North Westerly,17,11,2022-07-17T00:00:00+03:00,2022-07-17T11:02:11.748+03:00,105343,Jeddah
Sunny and a gentle breeze,1,42,107,31,19,35,2022-07-17,0,Precipitation is not expected,1002,36,97,18:00,1,Good,1,Sunny,A gentle breeze from the north west,NW,NW,North Westerly,19,12,2022-07-17T00:00:00+03:00,2022-07-17T11:02:11.748+03:00,105343,Jeddah
Sunny and a gentle breeze,1,41,105,26,16,36,2022-07-17,0,Precipitation is not expected,1002,35,95,19:00,1,Moderate,1,Sunny,A gentle breeze from the north north west,NNW,NNW,North North Westerly,14,8,2022-07-17T00:00:00+03:00,2022-07-17T11:02:11.748+03:00,105343,Jeddah
A clear sky and light winds,0,40,104,22,14,39,2022-07-17,0,Precipitation is not expected,1003,34,94,20:00,1,Moderate,0,Clear Sky,Light winds from the north north west,NNW,NNW,North North Westerly,12,7,2022-07-17T00:00:00+03:00,2022-07-17T11:02:11.748+03:00,105343,Jeddah
A clear sky and light winds,0,39,103,23,14,40,2022-07-17,0,Precipitation is not expected,1003,34,93,21:00,1,Moderate,0,Clear Sky,Light winds from the north,N,N,Northerly,10,6,2022-07-17T00:00:00+03:00,2022-07-17T11:02:11.748+03:00,105343,Jeddah
