enhancedWeatherDescription,extendedWeatherType,feelsLikeTemperatureC,feelsLikeTemperatureF,gustSpeedKph,gustSpeedMph,humidity,localDate,precipitationProbabilityInPercent,precipitationProbabilityText,pressure,temperatureC,temperatureF,timeslot,timeslotLength,visibility,weatherType,weatherTypeText,windDescription,windDirection,windDirectionAbbreviation,windDirectionFull,windSpeedKph,windSpeedMph,issueDate,lastUpdated,location_id,location_name
A clear sky and light winds,0,24,75,20,13,42,2024-12-29,0,Precipitation is not expected,1017,23,73,04:00,1,Good,0,Clear Sky,Light winds from the north,N,N,Northerly,9,6,2024-12-29T00:00:00+03:00,2024-12-29T03:00:41.574+03:00,105343,Jeddah
A clear sky and light winds,0,23,74,21,13,43,2024-12-29,0,Precipitation is not expected,1017,23,73,05:00,1,Good,0,Clear Sky,Light winds from the north,N,N,Northerly,9,6,2024-12-29T00:00:00+03:00,2024-12-29T03:00:41.574+03:00,105343,Jeddah
A clear sky and light winds,0,23,74,21,13,42,2024-12-29,0,Precipitation is not expected,1018,23,73,06:00,1,Good,0,Clear Sky,Light winds from the north,N,N,Northerly,8,5,2024-12-29T00:00:00+03:00,2024-12-29T03:00:41.574+03:00,105343,Jeddah
Sunny and light winds,1,23,74,22,13,44,2024-12-29,0,Precipitation is not expected,1018,22,72,07:00,1,Good,1,Sunny,Light winds from the north,N,N,Northerly,8,5,2024-12-29T00:00:00+03:00,2024-12-29T03:00:41.574+03:00,105343,Jeddah
Sunny and light winds,1,24,76,24,15,43,2024-12-29,0,Precipitation is not expected,1019,23,74,08:00,1,Good,1,Sunny,Light winds from the north north west,NNW,NNW,North North Westerly,9,5,2024-12-29T00:00:00+03:00,2024-12-29T03:00:41.574+03:00,105343,Jeddah
Sunny and light winds,1,26,80,24,15,41,2024-12-29,0,Precipitation is not expected,1019,25,77,09:00,1,Good,1,Sunny,Light winds from the north,N,N,Northerly,11,7,2024-12-29T00:00:00+03:00,2024-12-29T03:00:41.574+03:00,105343,Jeddah
Sunny and a gentle breeze,1,28,82,25,16,39,2024-12-29,0,Precipitation is not expected,1019,26,79,10:00,1,Good,1,Sunny,A gentle breeze from the north north west,NNW,NNW,North North Westerly,13,8,2024-12-29T00:00:00+03:00,2024-12-29T03:00:41.574+03:00,105343,Jeddah
Sunny and a gentle breeze,1,30,86,26,16,36,2024-12-29,0,Precipitation is not expected,1018,28,82,11:00,1,Good,1,Sunny,A gentle breeze from the north north west,NNW,NNW,North North Westerly,13,8,2024-12-29T00:00:00+03:00,2024-12-29T03:00:41.574+03:00,105343,Jeddah
Sunny and a gentle breeze,1,31,89,29,18,35,2024-12-29,0,Precipitation is not expected,1018,29,84,12:00,1,Good,1,Sunny,A gentle breeze from the north north west,NNW,NNW,North North Westerly,13,8,2024-12-29T00:00:00+03:00,2024-12-29T03:00:41.574+03:00,105343,Jeddah
Sunny and a gentle breeze,1,32,89,32,20,37,2024-12-29,0,Precipitation is not expected,1017,29,84,13:00,1,Good,1,Sunny,A gentle breeze from the north west,NW,NW,North Westerly,16,10,2024-12-29T00:00:00+03:00,2024-12-29T03:00:41.574+03:00,105343,Jeddah
