enhancedWeatherDescription,extendedWeatherType,feelsLikeTemperatureC,feelsLikeTemperatureF,gustSpeedKph,gustSpeedMph,humidity,localDate,precipitationProbabilityInPercent,precipitationProbabilityText,pressure,temperatureC,temperatureF,timeslot,timeslotLength,visibility,weatherType,weatherTypeText,windDescription,windDirection,windDirectionAbbreviation,windDirectionFull,windSpeedKph,windSpeedMph,detailed.issueDate,detailed.lastUpdated,location_id,location_name
A clear sky and light winds,0,22,71,32,20,50,2022-07-17,0,Precipitation is not expected,1025,21,69,02:00,1,Very Good,0,Clear Sky,Light winds from the east north east,ENE,ENE,East North Easterly,11,7,2022-07-16T23:00:00+02:00,2022-07-17T01:14:41.673+02:00,2988507,Paris
A clear sky and light winds,0,21,69,29,18,53,2022-07-17,0,Precipitation is not expected,1025,20,67,03:00,1,Very Good,0,Clear Sky,Light winds from the north east,NE,NE,North Easterly,11,7,2022-07-16T23:00:00+02:00,2022-07-17T01:14:41.673+02:00,2988507,Paris
A clear sky and light winds,0,20,67,26,16,56,2022-07-17,1,Low chance of precipitation,1025,19,66,04:00,1,Very Good,0,Clear Sky,Light winds from the north east,NE,NE,North Easterly,9,6,2022-07-16T23:00:00+02:00,2022-07-17T01:14:41.673+02:00,2988507,Paris
A clear sky and light winds,0,19,67,24,15,58,2022-07-17,2,Low chance of precipitation,1025,18,65,05:00,1,Very Good,0,Clear Sky,Light winds from the north east,NE,NE,North Easterly,9,5,2022-07-16T23:00:00+02:00,2022-07-17T01:14:41.673+02:00,2988507,Paris
A clear sky and light winds,0,19,66,23,15,59,2022-07-17,1,Low chance of precipitation,1025,18,64,06:00,1,Very Good,0,Clear Sky,Light winds from the north east,NE,NE,North Easterly,8,5,2022-07-16T23:00:00+02:00,2022-07-17T01:14:41.673+02:00,2988507,Paris
Sunny and light winds,1,19,66,24,15,58,2022-07-17,0,Precipitation is not expected,1025,18,65,07:00,1,Very Good,1,Sunny,Light winds from the north east,NE,NE,North Easterly,8,5,2022-07-16T23:00:00+02:00,2022-07-17T01:14:41.673+02:00,2988507,Paris
Sunny and light winds,1,20,69,24,15,55,2022-07-17,1,Low chance of precipitation,1026,19,67,08:00,1,Very Good,1,Sunny,Light winds from the north east,NE,NE,North Easterly,9,5,2022-07-16T23:00:00+02:00,2022-07-17T01:14:41.673+02:00,2988507,Paris
Sunny and light winds,1,23,73,26,16,50,2022-07-17,1,Low chance of precipitation,1026,21,70,09:00,1,Very Good,1,Sunny,Light winds from the north east,NE,NE,North Easterly,9,6,2022-07-16T23:00:00+02:00,2022-07-17T01:14:41.673+02:00,2988507,Paris
Sunny and light winds,1,25,77,28,18,44,2022-07-17,0,Precipitation is not expected,1026,23,74,10:00,1,Very Good,1,Sunny,Light winds from the north east,NE,NE,North Easterly,10,6,2022-07-16T23:00:00+02:00,2022-07-17T01:14:41.673+02:00,2988507,Paris
Sunny and light winds,1,27,80,31,19,39,2022-07-17,1,Low chance of precipitation,1026,25,78,11:00,1,Very Good,1,Sunny,Light winds from the east north east,ENE,ENE,East North Easterly,11,7,2022-07-16T23:00:00+02:00,2022-07-17T01:14:41.673+02:00,2988507,Paris
Sunny and light winds,1,28,83,33,21,34,2022-07-17,1,Low chance of precipitation,1026,27,81,12:00,1,Very Good,1,Sunny,Light winds from the east north east,ENE,ENE,East North Easterly,12,7,2022-07-16T23:00:00+02:00,2022-07-17T01:14:41.673+02:00,2988507,Paris
Sunny and a gentle breeze,1,30,85,34,21,31,2022-07-17,1,Low chance of precipitation,1025,29,83,13:00,1,Very Good,1,Sunny,A gentle breeze from the east north east,ENE,ENE,East North Easterly,12,8,2022-07-16T23:00:00+02:00,2022-07-17T01:14:41.673+02:00,2988507,Paris
Sunny and a gentle breeze,1,31,87,35,22,28,2022-07-17,0,Precipitation is not expected,1025,30,85,14:00,1,Very Good,1,Sunny,A gentle breeze from the east north east,ENE,ENE,East North Easterly,12,8,2022-07-16T23:00:00+02:00,2022-07-17T01:14:41.673+02:00,2988507,Paris
Sunny and a gentle breeze,1,31,88,35,22,26,2022-07-17,0,Precipitation is not expected,1024,31,87,15:00,1,Very Good,1,Sunny,A gentle breeze from the east north east,ENE,ENE,East North Easterly,12,8,2022-07-16T23:00:00+02:00,2022-07-17T01:14:41.673+02:00,2988507,Paris
Sunny and a gentle breeze,1,32,90,35,22,25,2022-07-17,0,Precipitation is not expected,1023,31,88,16:00,1,Very Good,1,Sunny,A gentle breeze from the east north east,ENE,ENE,East North Easterly,12,8,2022-07-16T23:00:00+02:00,2022-07-17T01:14:41.673+02:00,2988507,Paris
Sunny and a gentle breeze,1,32,90,35,22,24,2022-07-17,0,Precipitation is not expected,1023,32,89,17:00,1,Very Good,1,Sunny,A gentle breeze from the east north east,ENE,ENE,East North Easterly,12,8,2022-07-16T23:00:00+02:00,2022-07-17T01:14:41.673+02:00,2988507,Paris
Sunny and a gentle breeze,1,32,90,35,22,23,2022-07-17,0,Precipitation is not expected,1022,32,90,18:00,1,Very Good,1,Sunny,A gentle breeze from the east north east,ENE,ENE,East North Easterly,13,8,2022-07-16T23:00:00+02:00,2022-07-17T01:14:41.673+02:00,2988507,Paris
Sunny and a gentle breeze,1,32,90,34,21,23,2022-07-17,0,Precipitation is not expected,1022,32,89,19:00,1,Very Good,1,Sunny,A gentle breeze from the east north east,ENE,ENE,East North Easterly,12,8,2022-07-16T23:00:00+02:00,2022-07-17T01:14:41.673+02:00,2988507,Paris
Sunny and a gentle breeze,1,31,88,32,20,24,2022-07-17,0,Precipitation is not expected,1022,31,88,20:00,1,Very Good,1,Sunny,A gentle breeze from the east north east,ENE,ENE,East North Easterly,12,8,2022-07-16T23:00:00+02:00,2022-07-17T01:14:41.673+02:00,2988507,Paris
Sunny and light winds,1,29,85,30,18,27,2022-07-17,0,Precipitation is not expected,1022,29,84,21:00,1,Very Good,1,Sunny,Light winds from the east north east,ENE,ENE,East North Easterly,12,7,2022-07-16T23:00:00+02:00,2022-07-17T01:14:41.673+02:00,2988507,Paris
A clear sky and light winds,0,28,82,28,18,31,2022-07-17,0,Precipitation is not expected,1023,27,81,22:00,1,Very Good,0,Clear Sky,Light winds from the east north east,ENE,ENE,East North Easterly,11,7,2022-07-16T23:00:00+02:00,2022-07-17T01:14:41.673+02:00,2988507,Paris
A clear sky and light winds,0,26,79,28,17,35,2022-07-17,1,Low chance of precipitation,1023,25,78,23:00,1,Very Good,0,Clear Sky,Light winds from the east north east,ENE,ENE,East North Easterly,10,6,2022-07-16T23:00:00+02:00,2022-07-17T01:14:41.673+02:00,2988507,Paris
A clear sky and light winds,0,25,77,27,17,37,2022-07-18,1,Low chance of precipitation,1023,25,76,00:00,1,Very Good,0,Clear Sky,Light winds from the east north east,ENE,ENE,East North Easterly,10,6,2022-07-16T23:00:00+02:00,2022-07-17T01:14:41.673+02:00,2988507,Paris
A clear sky and light winds,0,25,76,27,17,38,2022-07-18,1,Low chance of precipitation,1023,24,75,01:00,1,Very Good,0,Clear Sky,Light winds from the east north east,ENE,ENE,East North Easterly,10,6,2022-07-16T23:00:00+02:00,2022-07-17T01:14:41.673+02:00,2988507,Paris
A clear sky and light winds,0,24,75,24,15,39,2022-07-18,0,Precipitation is not expected,1023,23,74,02:00,1,Very Good,0,Clear Sky,Light winds from the east north east,ENE,ENE,East North Easterly,9,6,2022-07-16T23:00:00+02:00,2022-07-17T01:14:41.673+02:00,2988507,Paris
A clear sky and light winds,0,23,74,21,13,42,2022-07-18,0,Precipitation is not expected,1023,22,72,03:00,1,Very Good,0,Clear Sky,Light winds from the east,E,E,Easterly,8,5,2022-07-16T23:00:00+02:00,2022-07-17T01:14:41.673+02:00,2988507,Paris
A clear sky and light winds,0,22,72,19,12,45,2022-07-18,1,Low chance of precipitation,1022,21,71,04:00,1,Very Good,0,Clear Sky,Light winds from the east,E,E,Easterly,7,5,2022-07-16T23:00:00+02:00,2022-07-17T01:14:41.673+02:00,2988507,Paris
A clear sky and light winds,0,21,71,17,11,48,2022-07-18,1,Low chance of precipitation,1022,21,69,05:00,1,Very Good,0,Clear Sky,Light winds from the east,E,E,Easterly,7,4,2022-07-16T23:00:00+02:00,2022-07-17T01:14:41.673+02:00,2988507,Paris
A clear sky and light winds,0,21,70,17,10,50,2022-07-18,0,Precipitation is not expected,1022,21,69,06:00,1,Very Good,0,Clear Sky,Light winds from the east south east,ESE,ESE,East South Easterly,6,4,2022-07-16T23:00:00+02:00,2022-07-17T01:14:41.673+02:00,2988507,Paris
Sunny and light winds,1,22,71,17,11,50,2022-07-18,0,Precipitation is not expected,1022,21,70,07:00,1,Very Good,1,Sunny,Light winds from the east south east,ESE,ESE,East South Easterly,6,4,2022-07-16T23:00:00+02:00,2022-07-17T01:14:41.673+02:00,2988507,Paris
Sunny and light winds,1,23,74,18,11,47,2022-07-18,0,Precipitation is not expected,1022,22,72,08:00,1,Very Good,1,Sunny,Light winds from the east south east,ESE,ESE,East South Easterly,7,4,2022-07-16T23:00:00+02:00,2022-07-17T01:14:41.673+02:00,2988507,Paris
Sunny and light winds,1,27,80,20,12,42,2022-07-18,0,Precipitation is not expected,1022,25,77,09:00,1,Very Good,1,Sunny,Light winds from the east south east,ESE,ESE,East South Easterly,7,5,2022-07-16T23:00:00+02:00,2022-07-17T01:14:41.673+02:00,2988507,Paris
Sunny and light winds,1,29,85,24,15,35,2022-07-18,0,Precipitation is not expected,1021,28,82,10:00,1,Very Good,1,Sunny,Light winds from the east south east,ESE,ESE,East South Easterly,8,5,2022-07-16T23:00:00+02:00,2022-07-17T01:14:41.673+02:00,2988507,Paris
Sunny and light winds,1,32,89,27,17,28,2022-07-18,0,Precipitation is not expected,1021,31,87,11:00,1,Very Good,1,Sunny,Light winds from the east south east,ESE,ESE,East South Easterly,9,6,2022-07-16T23:00:00+02:00,2022-07-17T01:14:41.673+02:00,2988507,Paris
Sunny and light winds,1,34,93,30,19,24,2022-07-18,1,Low chance of precipitation,1021,33,91,12:00,1,Very Good,1,Sunny,Light winds from the east south east,ESE,ESE,East South Easterly,10,6,2022-07-16T23:00:00+02:00,2022-07-17T01:14:41.673+02:00,2988507,Paris
Sunny and light winds,1,36,96,32,20,21,2022-07-18,0,Precipitation is not expected,1020,35,95,13:00,1,Very Good,1,Sunny,Light winds from the east south east,ESE,ESE,East South Easterly,11,7,2022-07-16T23:00:00+02:00,2022-07-17T01:14:41.673+02:00,2988507,Paris
Sunny and light winds,1,37,99,33,21,19,2022-07-18,0,Precipitation is not expected,1020,36,97,14:00,1,Very Good,1,Sunny,Light winds from the east south east,ESE,ESE,East South Easterly,11,7,2022-07-16T23:00:00+02:00,2022-07-17T01:14:41.673+02:00,2988507,Paris
Sunny and light winds,1,38,101,34,21,18,2022-07-18,1,Low chance of precipitation,1019,38,100,15:00,1,Very Good,1,Sunny,Light winds from the east south east,ESE,ESE,East South Easterly,12,7,2022-07-16T23:00:00+02:00,2022-07-17T01:14:41.673+02:00,2988507,Paris
Sunny and light winds,1,39,102,35,22,17,2022-07-18,1,Low chance of precipitation,1019,39,101,16:00,1,Very Good,1,Sunny,Light winds from the east south east,ESE,ESE,East South Easterly,12,7,2022-07-16T23:00:00+02:00,2022-07-17T01:14:41.673+02:00,2988507,Paris
Sunny and a gentle breeze,1,39,103,35,22,17,2022-07-18,1,Low chance of precipitation,1018,39,102,17:00,1,Very Good,1,Sunny,A gentle breeze from the east south east,ESE,ESE,East South Easterly,12,8,2022-07-16T23:00:00+02:00,2022-07-17T01:14:41.673+02:00,2988507,Paris
Sunny and a gentle breeze,1,39,103,35,22,17,2022-07-18,0,Precipitation is not expected,1018,39,102,18:00,1,Very Good,1,Sunny,A gentle breeze from the east south east,ESE,ESE,East South Easterly,12,8,2022-07-16T23:00:00+02:00,2022-07-17T01:14:41.673+02:00,2988507,Paris
Sunny and a gentle breeze,1,39,103,34,21,17,2022-07-18,0,Precipitation is not expected,1017,39,101,19:00,1,Very Good,1,Sunny,A gentle breeze from the east south east,ESE,ESE,East South Easterly,13,8,2022-07-16T23:00:00+02:00,2022-07-17T01:14:41.673+02:00,2988507,Paris
Sunny and a gentle breeze,1,38,100,33,21,19,2022-07-18,1,Low chance of precipitation,1017,37,99,20:00,1,Very Good,1,Sunny,A gentle breeze from the east,E,E,Easterly,13,8,2022-07-16T23:00:00+02:00,2022-07-17T01:14:41.673+02:00,2988507,Paris
Sunny and a gentle breeze,1,36,97,31,19,21,2022-07-18,0,Precipitation is not expected,1017,35,95,21:00,1,Very Good,1,Sunny,A gentle breeze from the east,E,E,Easterly,13,8,2022-07-16T23:00:00+02:00,2022-07-17T01:14:41.673+02:00,2988507,Paris
A clear sky and a gentle breeze,0,34,94,30,19,25,2022-07-18,0,Precipitation is not expected,1017,33,91,22:00,1,Very Good,0,Clear Sky,A gentle breeze from the east,E,E,Easterly,12,8,2022-07-16T23:00:00+02:00,2022-07-17T01:14:41.673+02:00,2988507,Paris
A clear sky and light winds,0,33,91,29,18,28,2022-07-18,0,Precipitation is not expected,1017,31,89,23:00,1,Very Good,0,Clear Sky,Light winds from the east,E,E,Easterly,12,7,2022-07-16T23:00:00+02:00,2022-07-17T01:14:41.673+02:00,2988507,Paris
A clear sky and light winds,0,32,89,28,17,31,2022-07-19,0,Precipitation is not expected,1016,30,86,00:00,1,Very Good,0,Clear Sky,Light winds from the east,E,E,Easterly,11,7,2022-07-16T23:00:00+02:00,2022-07-17T01:14:41.673+02:00,2988507,Paris
A clear sky and light winds,0,31,88,27,17,34,2022-07-19,0,Precipitation is not expected,1016,29,84,01:00,1,Very Good,0,Clear Sky,Light winds from the east south east,ESE,ESE,East South Easterly,11,7,2022-07-16T23:00:00+02:00,2022-07-17T01:14:41.673+02:00,2988507,Paris
A clear sky and light winds,0,30,86,26,16,37,2022-07-19,0,Precipitation is not expected,1016,28,82,02:00,1,Very Good,0,Clear Sky,Light winds from the east south east,ESE,ESE,East South Easterly,11,7,2022-07-16T23:00:00+02:00,2022-07-17T01:14:41.673+02:00,2988507,Paris
A clear sky and light winds,0,29,85,26,16,38,2022-07-19,0,Precipitation is not expected,1016,27,81,03:00,1,Very Good,0,Clear Sky,Light winds from the east south east,ESE,ESE,East South Easterly,10,6,2022-07-16T23:00:00+02:00,2022-07-17T01:14:41.673+02:00,2988507,Paris
A clear sky and light winds,0,28,83,25,16,40,2022-07-19,0,Precipitation is not expected,1016,26,79,04:00,1,Very Good,0,Clear Sky,Light winds from the east south east,ESE,ESE,East South Easterly,10,6,2022-07-16T23:00:00+02:00,2022-07-17T01:14:41.673+02:00,2988507,Paris
A clear sky and light winds,0,27,81,25,16,42,2022-07-19,0,Precipitation is not expected,1016,25,77,05:00,1,Very Good,0,Clear Sky,Light winds from the east south east,ESE,ESE,East South Easterly,10,6,2022-07-16T23:00:00+02:00,2022-07-17T01:14:41.673+02:00,2988507,Paris
A clear sky and light winds,0,26,79,26,16,44,2022-07-19,0,Precipitation is not expected,1015,24,76,06:00,1,Very Good,0,Clear Sky,Light winds from the east south east,ESE,ESE,East South Easterly,10,6,2022-07-16T23:00:00+02:00,2022-07-17T01:14:41.673+02:00,2988507,Paris
Sunny and light winds,1,26,79,27,17,45,2022-07-19,0,Precipitation is not expected,1015,24,76,07:00,1,Very Good,1,Sunny,Light winds from the east south east,ESE,ESE,East South Easterly,10,6,2022-07-16T23:00:00+02:00,2022-07-17T01:14:41.673+02:00,2988507,Paris
Sunny and light winds,1,27,81,29,18,43,2022-07-19,0,Precipitation is not expected,1015,25,78,08:00,1,Very Good,1,Sunny,Light winds from the east south east,ESE,ESE,East South Easterly,11,7,2022-07-16T23:00:00+02:00,2022-07-17T01:14:41.673+02:00,2988507,Paris
Sunny and a gentle breeze,1,30,86,32,20,38,2022-07-19,0,Precipitation is not expected,1014,28,82,09:00,1,Very Good,1,Sunny,A gentle breeze from the south east,SE,SE,South Easterly,12,8,2022-07-16T23:00:00+02:00,2022-07-17T01:14:41.673+02:00,2988507,Paris
Sunny and a gentle breeze,1,33,91,36,23,33,2022-07-19,0,Precipitation is not expected,1013,31,87,10:00,1,Very Good,1,Sunny,A gentle breeze from the south east,SE,SE,South Easterly,13,8,2022-07-16T23:00:00+02:00,2022-07-17T01:14:41.673+02:00,2988507,Paris
Sunny and a gentle breeze,1,36,97,40,25,28,2022-07-19,0,Precipitation is not expected,1013,34,93,11:00,1,Very Good,1,Sunny,A gentle breeze from the south south east,SSE,SSE,South South Easterly,15,9,2022-07-16T23:00:00+02:00,2022-07-17T01:14:41.673+02:00,2988507,Paris
Sunny and a gentle breeze,1,39,102,44,27,25,2022-07-19,0,Precipitation is not expected,1012,36,97,12:00,1,Very Good,1,Sunny,A gentle breeze from the south south east,SSE,SSE,South South Easterly,16,10,2022-07-16T23:00:00+02:00,2022-07-17T01:14:41.673+02:00,2988507,Paris
Sunny and a gentle breeze,1,41,105,46,29,23,2022-07-19,0,Precipitation is not expected,1011,38,100,13:00,1,Very Good,1,Sunny,A gentle breeze from the south south east,SSE,SSE,South South Easterly,17,10,2022-07-16T23:00:00+02:00,2022-07-17T01:14:41.673+02:00,2988507,Paris
