enhancedWeatherDescription,extendedWeatherType,feelsLikeTemperatureC,feelsLikeTemperatureF,gustSpeedKph,gustSpeedMph,humidity,localDate,precipitationProbabilityInPercent,precipitationProbabilityText,pressure,temperatureC,temperatureF,timeslot,timeslotLength,visibility,weatherType,weatherTypeText,windDescription,windDirection,windDirectionAbbreviation,windDirectionFull,windSpeedKph,windSpeedMph,issueDate,lastUpdated,location_id,location_name
Sunny and light winds,1,3,37,8,5,44,2023-11-25,0,Precipitation is not expected,1030,5,41,12:00,1,Good,1,Sunny,Light winds from the east north east,ENE,ENE,East North Easterly,10,6,2023-11-25T04:49:00-05:00,2023-11-25T11:00:05.104-05:00,4140963,Washington DC
Sunny and light winds,1,5,42,8,5,42,2023-11-25,0,Precipitation is not expected,1029,6,43,13:00,1,Good,1,Sunny,Light winds from the east north east,ENE,ENE,East North Easterly,7,5,2023-11-25T04:49:00-05:00,2023-11-25T11:00:05.104-05:00,4140963,Washington DC
Sunny and light winds,1,5,41,9,6,40,2023-11-25,0,Precipitation is not expected,1029,7,44,14:00,1,Good,1,Sunny,Light winds from the east,E,E,Easterly,8,5,2023-11-25T04:49:00-05:00,2023-11-25T11:00:05.104-05:00,4140963,Washington DC
Sunny and light winds,1,5,40,10,6,40,2023-11-25,0,Precipitation is not expected,1028,7,44,15:00,1,Good,1,Sunny,Light winds from the east,E,E,Easterly,8,5,2023-11-25T04:49:00-05:00,2023-11-25T11:00:05.104-05:00,4140963,Washington DC
Sunny and light winds,1,4,39,10,6,42,2023-11-25,0,Precipitation is not expected,1028,6,43,16:00,1,Good,1,Sunny,Light winds from the east,E,E,Easterly,10,6,2023-11-25T04:49:00-05:00,2023-11-25T11:00:05.104-05:00,4140963,Washington DC
A clear sky and light winds,0,2,36,9,6,49,2023-11-25,0,Precipitation is not expected,1028,5,41,17:00,1,Good,0,Clear Sky,Light winds from the east south east,ESE,ESE,East South Easterly,10,6,2023-11-25T04:49:00-05:00,2023-11-25T11:00:05.104-05:00,4140963,Washington DC
A clear sky and light winds,0,2,35,9,6,52,2023-11-25,0,Precipitation is not expected,1029,4,39,18:00,1,Good,0,Clear Sky,Light winds from the east south east,ESE,ESE,East South Easterly,8,5,2023-11-25T04:49:00-05:00,2023-11-25T11:00:05.104-05:00,4140963,Washington DC
A clear sky and light winds,0,1,34,8,5,56,2023-11-25,0,Precipitation is not expected,1029,3,38,19:00,1,Good,0,Clear Sky,Light winds from the east south east,ESE,ESE,East South Easterly,8,5,2023-11-25T04:49:00-05:00,2023-11-25T11:00:05.104-05:00,4140963,Washington DC
A clear sky and light winds,0,3,37,5,3,60,2023-11-25,0,Precipitation is not expected,1028,3,37,20:00,1,Good,0,Clear Sky,Light winds from the east south east,ESE,ESE,East South Easterly,6,4,2023-11-25T04:49:00-05:00,2023-11-25T11:00:05.104-05:00,4140963,Washington DC
A clear sky and light winds,0,2,36,5,3,63,2023-11-25,0,Precipitation is not expected,1028,3,37,21:00,1,Good,0,Clear Sky,Light winds from the east south east,ESE,ESE,East South Easterly,4,3,2023-11-25T04:49:00-05:00,2023-11-25T11:00:05.104-05:00,4140963,Washington DC
