issueDate,lastUpdated,report.enhancedWeatherDescription,report.gustSpeedKph,report.gustSpeedMph,report.localDate,report.lowermaxTemperatureC,report.lowermaxTemperatureF,report.lowerminTemperatureC,report.lowerminTemperatureF,report.maxTempC,report.maxTempF,report.minTempC,report.minTempF,report.mostLikelyHighTemperatureC,report.mostLikelyHighTemperatureF,report.mostLikelyLowTemperatureC,report.mostLikelyLowTemperatureF,report.pollenIndex,report.pollenIndexBand,report.pollenIndexIconText,report.pollenIndexText,report.pollutionIndex,report.pollutionIndexBand,report.pollutionIndexIconText,report.pollutionIndexText,report.precipitationProbabilityInPercent,report.precipitationProbabilityText,report.sunrise,report.sunset,report.uppermaxTemperatureC,report.uppermaxTemperatureF,report.upperminTemperatureC,report.upperminTemperatureF,report.uvIndex,report.uvIndexBand,report.uvIndexIconText,report.uvIndexText,report.weatherType,report.weatherTypeText,report.windDescription,report.windDirection,report.windDirectionAbbreviation,report.windDirectionFull,report.windSpeedKph,report.windSpeedMph,location_id,location_name
2023-11-11T21:53:00+00:00,2023-11-12T08:01:10.388Z,Light rain and a moderate breeze,49,30,2023-11-12,,,,,10,50,7,45,11,51,6,42,,,,,2.0,LOW,L,Low,90,High chance of precipitation,07:47,16:28,,,,,1,LOW,L,Low,12,Light Rain,A moderate breeze from the south east,SE,SE,South Easterly,23,14,2655984,Belfast
2023-11-11T21:53:00+00:00,2023-11-12T08:01:10.388Z,Heavy rain and a moderate breeze,63,39,2023-11-13,,,,,11,52,8,46,12,54,6,43,,,,,2.0,LOW,L,Low,80,High chance of precipitation,07:49,16:26,,,,,1,LOW,L,Low,15,Heavy Rain,A moderate breeze from the west,W,W,Westerly,27,17,2655984,Belfast
2023-11-11T21:53:00+00:00,2023-11-12T08:01:10.388Z,Light cloud and a gentle breeze,43,27,2023-11-14,,,,,12,53,7,45,12,54,6,42,,,,,2.0,LOW,L,Low,26,Low chance of precipitation,07:51,16:24,,,,,1,LOW,L,Low,7,Light Cloud,A gentle breeze from the south west,SW,SW,South Westerly,20,12,2655984,Belfast
2023-11-11T21:53:00+00:00,2023-11-12T08:01:10.388Z,Sunny intervals and a gentle breeze,36,22,2023-11-15,,,,,10,51,5,41,12,54,3,37,,,,,2.0,LOW,L,Low,18,Low chance of precipitation,07:53,16:23,,,,,2,LOW,L,Low,3,Sunny Intervals,A gentle breeze from the south west,SW,SW,South Westerly,19,12,2655984,Belfast
2023-11-11T21:53:00+00:00,2023-11-12T08:01:10.388Z,Light rain showers and a moderate breeze,51,32,2023-11-16,,,,,9,49,5,40,11,51,3,38,,,,,2.0,LOW,L,Low,43,Chance of precipitation,07:55,16:21,,,,,2,LOW,L,Low,10,Light Rain Showers,A moderate breeze from the west,W,W,Westerly,21,13,2655984,Belfast
2023-11-11T21:53:00+00:00,2023-11-12T08:01:10.388Z,Sunny intervals and a gentle breeze,32,20,2023-11-17,,,,,10,50,5,42,11,53,2,36,,,,,,,,,21,Low chance of precipitation,07:57,16:19,,,,,2,LOW,L,Low,3,Sunny Intervals,A gentle breeze from the west,W,W,Westerly,15,9,2655984,Belfast
2023-11-11T21:53:00+00:00,2023-11-12T08:01:10.388Z,Light rain and a gentle breeze,42,26,2023-11-18,,,,,12,54,10,49,13,56,8,46,,,,,,,,,70,Chance of precipitation,07:59,16:18,,,,,1,LOW,L,Low,12,Light Rain,A gentle breeze from the south,S,S,Southerly,19,12,2655984,Belfast
2023-11-11T21:53:00+00:00,2023-11-12T08:01:10.388Z,Light rain and a gentle breeze,32,20,2023-11-19,,,,,13,55,8,46,15,59,6,43,,,,,,,,,72,High chance of precipitation,08:01,16:16,,,,,1,LOW,L,Low,12,Light Rain,A gentle breeze from the south,S,S,Southerly,17,11,2655984,Belfast
2023-11-12T08:01:10+00:00,2023-11-12T08:01:10.388Z,Light rain and a gentle breeze,27,17,2023-11-20,,,,,12,53,6,42,14,57,3,38,,,,,,,,,40,Chance of precipitation,08:03,16:15,,,,,2,LOW,L,Low,12,Light Rain,A gentle breeze from the south,S,S,Southerly,14,9,2655984,Belfast
2023-11-12T08:01:10+00:00,2023-11-12T08:01:10.388Z,Light rain and a gentle breeze,34,21,2023-11-21,,,,,11,51,6,43,13,56,4,39,,,,,,,,,53,Chance of precipitation,08:05,16:14,,,,,1,LOW,L,Low,12,Light Rain,A gentle breeze from the south,S,S,Southerly,13,8,2655984,Belfast
