issueDate,lastUpdated,report.enhancedWeatherDescription,report.gustSpeedKph,report.gustSpeedMph,report.localDate,report.lowermaxTemperatureC,report.lowermaxTemperatureF,report.lowerminTemperatureC,report.lowerminTemperatureF,report.maxTempC,report.maxTempF,report.minTempC,report.minTempF,report.mostLikelyHighTemperatureC,report.mostLikelyHighTemperatureF,report.mostLikelyLowTemperatureC,report.mostLikelyLowTemperatureF,report.pollenIndex,report.pollenIndexBand,report.pollenIndexIconText,report.pollenIndexText,report.pollutionIndex,report.pollutionIndexBand,report.pollutionIndexIconText,report.pollutionIndexText,report.precipitationProbabilityInPercent,report.precipitationProbabilityText,report.sunrise,report.sunset,report.uppermaxTemperatureC,report.uppermaxTemperatureF,report.upperminTemperatureC,report.upperminTemperatureF,report.uvIndex,report.uvIndexBand,report.uvIndexIconText,report.uvIndexText,report.weatherType,report.weatherTypeText,report.windDescription,report.windDirection,report.windDirectionAbbreviation,report.windDirectionFull,report.windSpeedKph,report.windSpeedMph,location_id,location_name
2022-08-03T10:11:00+01:00,2022-08-03T17:00:01.618+01:00,Sunny intervals and a moderate breeze,41,25,2022-08-03,,,,,22,72,14,57,23,73,13,55,4.0,MODERATE,M,Moderate,2.0,LOW,L,Low,3,Low chance of precipitation,05:39,20:58,,,,,6,HIGH,H,High,3,Sunny Intervals,A moderate breeze from the west,W,W,Westerly,24,15,2653822,Cardiff
2022-08-03T10:11:00+01:00,2022-08-03T17:00:01.618+01:00,Sunny intervals and a moderate breeze,38,23,2022-08-04,,,,,22,71,10,51,23,73,9,49,4.0,MODERATE,M,Moderate,2.0,LOW,L,Low,4,Low chance of precipitation,05:40,20:56,,,,,5,MODERATE,M,Moderate,3,Sunny Intervals,A moderate breeze from the north west,NW,NW,North Westerly,25,16,2653822,Cardiff
2022-08-03T10:11:00+01:00,2022-08-03T17:00:01.618+01:00,Sunny intervals and a moderate breeze,36,22,2022-08-05,,,,,23,73,10,50,24,75,9,48,4.0,MODERATE,M,Moderate,2.0,LOW,L,Low,1,Low chance of precipitation,05:42,20:55,,,,,6,HIGH,H,High,3,Sunny Intervals,A moderate breeze from the north west,NW,NW,North Westerly,23,15,2653822,Cardiff
2022-08-03T10:11:00+01:00,2022-08-03T17:00:01.618+01:00,Sunny intervals and a gentle breeze,27,17,2022-08-06,,,,,23,73,12,54,24,75,11,52,4.0,MODERATE,M,Moderate,2.0,LOW,L,Low,5,Low chance of precipitation,05:44,20:53,,,,,6,HIGH,H,High,3,Sunny Intervals,A gentle breeze from the north west,NW,NW,North Westerly,17,11,2653822,Cardiff
2022-08-03T10:11:00+01:00,2022-08-03T17:00:01.618+01:00,Sunny intervals and a gentle breeze,23,14,2022-08-07,,,,,25,77,13,56,26,79,12,53,4.0,MODERATE,M,Moderate,3.0,LOW,L,Low,6,Low chance of precipitation,05:45,20:51,,,,,6,HIGH,H,High,3,Sunny Intervals,A gentle breeze from the north east,NE,NE,North Easterly,15,9,2653822,Cardiff
2022-08-03T10:11:00+01:00,2022-08-03T17:00:01.618+01:00,Sunny and a gentle breeze,22,14,2022-08-08,,,,,26,79,13,56,27,81,12,54,,,,,,,,,5,Low chance of precipitation,05:47,20:49,,,,,6,HIGH,H,High,1,Sunny,A gentle breeze from the north east,NE,NE,North Easterly,14,9,2653822,Cardiff
2022-08-03T10:11:00+01:00,2022-08-03T17:00:01.618+01:00,Sunny and a gentle breeze,24,15,2022-08-09,,,,,27,80,16,61,29,84,15,59,,,,,,,,,5,Low chance of precipitation,05:48,20:47,,,,,6,HIGH,H,High,1,Sunny,A gentle breeze from the north east,NE,NE,North Easterly,16,10,2653822,Cardiff
2022-08-03T10:11:00+01:00,2022-08-03T17:00:01.618+01:00,Sunny intervals and a gentle breeze,29,18,2022-08-10,,,,,25,78,15,59,28,83,14,57,,,,,,,,,13,Low chance of precipitation,05:50,20:46,,,,,6,HIGH,H,High,3,Sunny Intervals,A gentle breeze from the west,W,W,Westerly,19,12,2653822,Cardiff
2022-08-03T17:00:01+01:00,2022-08-03T17:00:01.618+01:00,Sunny intervals and a moderate breeze,31,19,2022-08-11,,,,,25,76,14,57,29,83,12,54,,,,,,,,,11,Low chance of precipitation,05:51,20:44,,,,,6,HIGH,H,High,3,Sunny Intervals,A moderate breeze from the north west,NW,NW,North Westerly,20,13,2653822,Cardiff
2022-08-03T17:00:01+01:00,2022-08-03T17:00:01.618+01:00,Sunny intervals and a moderate breeze,31,19,2022-08-12,,,,,24,75,15,59,29,85,13,55,,,,,,,,,10,Low chance of precipitation,05:53,20:42,,,,,6,HIGH,H,High,3,Sunny Intervals,A moderate breeze from the west,W,W,Westerly,20,13,2653822,Cardiff
2022-08-03T17:00:01+01:00,2022-08-03T17:00:01.618+01:00,Sunny intervals and a moderate breeze,32,20,2022-08-13,,,,,23,74,14,58,28,82,12,53,,,,,,,,,14,Low chance of precipitation,05:54,20:40,,,,,5,MODERATE,M,Moderate,3,Sunny Intervals,A moderate breeze from the west,W,W,Westerly,21,13,2653822,Cardiff
2022-08-03T17:00:01+01:00,2022-08-03T17:00:01.618+01:00,Sunny intervals and a moderate breeze,34,21,2022-08-14,,,,,23,73,14,58,26,79,12,54,,,,,,,,,15,Low chance of precipitation,05:56,20:38,,,,,5,MODERATE,M,Moderate,3,Sunny Intervals,A moderate breeze from the west,W,W,Westerly,22,14,2653822,Cardiff
2022-08-03T17:00:01+01:00,2022-08-03T17:00:01.618+01:00,Sunny intervals and a moderate breeze,34,21,2022-08-15,,,,,22,71,14,57,25,77,11,53,,,,,,,,,16,Low chance of precipitation,05:58,20:36,,,,,5,MODERATE,M,Moderate,3,Sunny Intervals,A moderate breeze from the west,W,W,Westerly,22,14,2653822,Cardiff
