issueDate,lastUpdated,report.enhancedWeatherDescription,report.gustSpeedKph,report.gustSpeedMph,report.localDate,report.lowermaxTemperatureC,report.lowermaxTemperatureF,report.lowerminTemperatureC,report.lowerminTemperatureF,report.maxTempC,report.maxTempF,report.minTempC,report.minTempF,report.mostLikelyHighTemperatureC,report.mostLikelyHighTemperatureF,report.mostLikelyLowTemperatureC,report.mostLikelyLowTemperatureF,report.pollenIndex,report.pollenIndexBand,report.pollenIndexIconText,report.pollenIndexText,report.pollutionIndex,report.pollutionIndexBand,report.pollutionIndexIconText,report.pollutionIndexText,report.precipitationProbabilityInPercent,report.precipitationProbabilityText,report.sunrise,report.sunset,report.uppermaxTemperatureC,report.uppermaxTemperatureF,report.upperminTemperatureC,report.upperminTemperatureF,report.uvIndex,report.uvIndexBand,report.uvIndexIconText,report.uvIndexText,report.weatherType,report.weatherTypeText,report.windDescription,report.windDirection,report.windDirectionAbbreviation,report.windDirectionFull,report.windSpeedKph,report.windSpeedMph,location_id,location_name
2024-11-26T09:46:00+00:00,2024-11-26T16:01:58.271Z,Sunny intervals and light winds,10,6,2024-11-26,,,,,9,48,7,44,10,50,5,41,,,,,2.0,LOW,L,Low,0,Precipitation is not expected,07:37,15:58,,,,,1,LOW,L,Low,3,Sunny Intervals,Light winds from the west,W,W,Westerly,6,4,2634341,City of Westminster
2024-11-26T09:46:00+00:00,2024-11-26T16:01:58.271Z,Light rain showers and a gentle breeze,37,23,2024-11-27,,,,,10,50,1,34,11,51,-1,31,,,,,2.0,LOW,L,Low,80,High chance of precipitation,07:39,15:57,,,,,1,LOW,L,Low,10,Light Rain Showers,A gentle breeze from the north west,NW,NW,North Westerly,17,10,2634341,City of Westminster
2024-11-26T09:46:00+00:00,2024-11-26T16:01:58.271Z,Sunny and light winds,10,6,2024-11-28,,,,,6,43,2,36,7,45,1,33,,,,,2.0,LOW,L,Low,0,Precipitation is not expected,07:40,15:57,,,,,2,LOW,L,Low,1,Sunny,Light winds from the east,E,E,Easterly,6,4,2634341,City of Westminster
2024-11-26T09:46:00+00:00,2024-11-26T16:01:58.271Z,Sunny and a gentle breeze,32,20,2024-11-29,,,,,9,48,5,42,10,50,3,38,,,,,2.0,LOW,L,Low,0,Precipitation is not expected,07:42,15:56,,,,,2,LOW,L,Low,1,Sunny,A gentle breeze from the south east,SE,SE,South Easterly,13,8,2634341,City of Westminster
2024-11-26T09:46:00+00:00,2024-11-26T16:01:58.271Z,Light cloud and light winds,25,15,2024-11-30,,,,,12,54,9,48,15,59,6,42,,,,,2.0,LOW,L,Low,0,Precipitation is not expected,07:43,15:55,,,,,1,LOW,L,Low,7,Light Cloud,Light winds from the south,S,S,Southerly,10,6,2634341,City of Westminster
2024-11-26T09:46:00+00:00,2024-11-26T16:01:58.271Z,Sunny intervals and a gentle breeze,34,21,2024-12-01,,,,,13,54,9,49,15,59,6,43,,,,,,,,,19,Low chance of precipitation,07:45,15:55,,,,,2,LOW,L,Low,3,Sunny Intervals,A gentle breeze from the south,S,S,Southerly,14,9,2634341,City of Westminster
2024-11-26T09:46:00+00:00,2024-11-26T16:01:58.271Z,Sunny intervals and light winds,26,16,2024-12-02,,,,,11,52,6,43,13,56,3,37,,,,,,,,,70,Chance of precipitation,07:46,15:54,,,,,2,LOW,L,Low,3,Sunny Intervals,Light winds from the west,W,W,Westerly,11,7,2634341,City of Westminster
2024-11-26T09:46:00+00:00,2024-11-26T16:01:58.271Z,Sunny intervals and light winds,23,14,2024-12-03,,,,,9,49,5,41,12,53,2,36,,,,,,,,,45,Chance of precipitation,07:47,15:53,,,,,2,LOW,L,Low,3,Sunny Intervals,Light winds from the east,E,E,Easterly,10,6,2634341,City of Westminster
2024-11-26T16:01:58+00:00,2024-11-26T16:01:58.271Z,Sunny intervals and light winds,25,16,2024-12-04,,,,,9,48,6,43,12,54,3,38,,,,,,,,,26,Low chance of precipitation,07:49,15:53,,,,,2,LOW,L,Low,3,Sunny Intervals,Light winds from the south west,SW,SW,South Westerly,12,7,2634341,City of Westminster
2024-11-26T16:01:58+00:00,2024-11-26T16:01:58.271Z,Light rain and a gentle breeze,37,23,2024-12-05,,,,,10,50,8,46,13,56,5,40,,,,,,,,,65,Chance of precipitation,07:50,15:53,,,,,1,LOW,L,Low,12,Light Rain,A gentle breeze from the south west,SW,SW,South Westerly,15,9,2634341,City of Westminster
2024-11-26T16:01:58+00:00,2024-11-26T16:01:58.271Z,Light rain and a gentle breeze,44,27,2024-12-06,,,,,10,50,6,43,14,57,2,36,,,,,,,,,55,Chance of precipitation,07:51,15:52,,,,,1,LOW,L,Low,12,Light Rain,A gentle breeze from the west,W,W,Westerly,18,11,2634341,City of Westminster
2024-11-26T16:01:58+00:00,2024-11-26T16:01:58.271Z,Light rain showers and a gentle breeze,48,30,2024-12-07,,,,,10,50,6,43,14,57,2,36,,,,,,,,,36,Chance of precipitation,07:52,15:52,,,,,1,LOW,L,Low,10,Light Rain Showers,A gentle breeze from the west,W,W,Westerly,19,12,2634341,City of Westminster
2024-11-26T16:01:58+00:00,2024-11-26T16:01:58.271Z,Light cloud and a gentle breeze,42,26,2024-12-08,,,,,9,49,4,39,14,57,-1,31,,,,,,,,,21,Low chance of precipitation,07:53,15:52,,,,,1,LOW,L,Low,7,Light Cloud,A gentle breeze from the west,W,W,Westerly,17,11,2634341,City of Westminster
2024-11-26T16:01:58+00:00,2024-11-26T16:01:58.271Z,Sunny intervals and a gentle breeze,29,18,2024-12-09,,,,,9,47,6,43,13,56,1,35,,,,,,,,,0,Precipitation is not expected,07:54,15:52,,,,,1,LOW,L,Low,3,Sunny Intervals,A gentle breeze from the west,W,W,Westerly,12,8,2634341,City of Westminster
