issueDate,lastUpdated,report.enhancedWeatherDescription,report.gustSpeedKph,report.gustSpeedMph,report.localDate,report.lowermaxTemperatureC,report.lowermaxTemperatureF,report.lowerminTemperatureC,report.lowerminTemperatureF,report.maxTempC,report.maxTempF,report.minTempC,report.minTempF,report.mostLikelyHighTemperatureC,report.mostLikelyHighTemperatureF,report.mostLikelyLowTemperatureC,report.mostLikelyLowTemperatureF,report.pollenIndex,report.pollenIndexBand,report.pollenIndexIconText,report.pollenIndexText,report.pollutionIndex,report.pollutionIndexBand,report.pollutionIndexIconText,report.pollutionIndexText,report.precipitationProbabilityInPercent,report.precipitationProbabilityText,report.sunrise,report.sunset,report.uppermaxTemperatureC,report.uppermaxTemperatureF,report.upperminTemperatureC,report.upperminTemperatureF,report.uvIndex,report.uvIndexBand,report.uvIndexIconText,report.uvIndexText,report.weatherType,report.weatherTypeText,report.windDescription,report.windDirection,report.windDirectionAbbreviation,report.windDirectionFull,report.windSpeedKph,report.windSpeedMph,location_id,location_name
2023-03-05T21:55:00+00:00,2023-03-06T08:01:10.898Z,Light cloud and a moderate breeze,36,22,2023-03-06,,,,,5,41,-3,26,5,42,-5,23,,,,,3.0,LOW,L,Low,31,Chance of precipitation,06:53,17:57,,,,,1,LOW,L,Low,7,Light Cloud,A moderate breeze from the north,N,N,Northerly,21,13,2650225,Edinburgh
2023-03-05T21:55:00+00:00,2023-03-06T08:01:10.898Z,Sunny intervals and a gentle breeze,26,16,2023-03-07,,,,,4,39,-5,22,5,41,-7,19,,,,,3.0,LOW,L,Low,18,Low chance of precipitation,06:50,17:59,,,,,3,MODERATE,M,Moderate,3,Sunny Intervals,A gentle breeze from the north west,NW,NW,North Westerly,17,11,2650225,Edinburgh
2023-03-05T21:55:00+00:00,2023-03-06T08:01:10.898Z,Sunny and light winds,9,6,2023-03-08,,,,,3,38,-4,24,5,41,-7,20,,,,,3.0,LOW,L,Low,0,Precipitation is not expected,06:47,18:01,,,,,3,MODERATE,M,Moderate,1,Sunny,Light winds from the west,W,W,Westerly,8,5,2650225,Edinburgh
2023-03-05T21:55:00+00:00,2023-03-06T08:01:10.898Z,Light snow and a gentle breeze,21,13,2023-03-09,,,,,3,38,-1,30,5,41,-4,25,,,,,3.0,LOW,L,Low,33,Chance of precipitation,06:45,18:03,,,,,3,MODERATE,M,Moderate,24,Light Snow,A gentle breeze from the east,E,E,Easterly,14,9,2650225,Edinburgh
2023-03-05T21:55:00+00:00,2023-03-06T08:01:10.898Z,Sleet showers and a gentle breeze,32,20,2023-03-10,,,,,5,41,2,36,10,50,-2,29,,,,,3.0,LOW,L,Low,70,Chance of precipitation,06:42,18:05,,,,,1,LOW,L,Low,17,Sleet Showers,A gentle breeze from the east,E,E,Easterly,18,11,2650225,Edinburgh
2023-03-05T21:55:00+00:00,2023-03-06T08:01:10.898Z,Light rain and a moderate breeze,37,23,2023-03-11,,,,,6,44,2,36,10,50,-3,27,,,,,,,,,70,Chance of precipitation,06:40,18:07,,,,,1,LOW,L,Low,12,Light Rain,A moderate breeze from the south west,SW,SW,South Westerly,21,13,2650225,Edinburgh
2023-03-05T21:55:00+00:00,2023-03-06T08:01:10.898Z,Light rain and a moderate breeze,29,18,2023-03-12,,,,,7,44,1,33,11,53,-5,23,,,,,,,,,58,Chance of precipitation,06:37,18:09,,,,,2,LOW,L,Low,12,Light Rain,A moderate breeze from the west,W,W,Westerly,25,16,2650225,Edinburgh
2023-03-05T21:55:00+00:00,2023-03-06T08:01:10.898Z,Sleet showers and a gentle breeze,19,12,2023-03-13,,,,,5,41,0,32,9,49,-5,23,,,,,,,,,30,Low chance of precipitation,06:34,18:11,,,,,2,LOW,L,Low,17,Sleet Showers,A gentle breeze from the west,W,W,Westerly,17,11,2650225,Edinburgh
2023-03-06T08:01:10+00:00,2023-03-06T08:01:10.898Z,Heavy snow showers and a gentle breeze,22,14,2023-03-14,,,,,4,40,-1,30,7,44,-2,29,,,,,,,,,53,Chance of precipitation,06:32,18:14,,,,,1,LOW,L,Low,26,Heavy Snow Showers,A gentle breeze from the north,N,N,Northerly,15,9,2650225,Edinburgh
2023-03-06T08:01:10+00:00,2023-03-06T08:01:10.898Z,Thick cloud and light winds,52,32,2023-03-15,,,,,5,40,2,36,5,41,1,35,,,,,,,,,27,Low chance of precipitation,06:29,18:16,,,,,1,LOW,L,Low,8,Thick Cloud,Light winds from the north east,NE,NE,North Easterly,10,6,2650225,Edinburgh
