issueDate,lastUpdated,report.enhancedWeatherDescription,report.gustSpeedKph,report.gustSpeedMph,report.localDate,report.lowermaxTemperatureC,report.lowermaxTemperatureF,report.lowerminTemperatureC,report.lowerminTemperatureF,report.maxTempC,report.maxTempF,report.minTempC,report.minTempF,report.mostLikelyHighTemperatureC,report.mostLikelyHighTemperatureF,report.mostLikelyLowTemperatureC,report.mostLikelyLowTemperatureF,report.pollenIndex,report.pollenIndexBand,report.pollenIndexIconText,report.pollenIndexText,report.pollutionIndex,report.pollutionIndexBand,report.pollutionIndexIconText,report.pollutionIndexText,report.precipitationProbabilityInPercent,report.precipitationProbabilityText,report.sunrise,report.sunset,report.uppermaxTemperatureC,report.uppermaxTemperatureF,report.upperminTemperatureC,report.upperminTemperatureF,report.uvIndex,report.uvIndexBand,report.uvIndexIconText,report.uvIndexText,report.weatherType,report.weatherTypeText,report.windDescription,report.windDirection,report.windDirectionAbbreviation,report.windDirectionFull,report.windSpeedKph,report.windSpeedMph,location_id,location_name
2023-09-23T10:53:00+01:00,2023-09-23T17:00:17.217+01:00,Sunny intervals and a gentle breeze,26,16,2023-09-23,,,,,18,64,11,51,18,65,9,49,,,,,2.0,LOW,L,Low,0,Precipitation is not expected,06:47,18:57,,,,,3,MODERATE,M,Moderate,3,Sunny Intervals,A gentle breeze from the south west,SW,SW,South Westerly,14,9,2643743,Greater London
2023-09-23T10:53:00+01:00,2023-09-23T17:00:17.217+01:00,Sunny intervals and a moderate breeze,47,29,2023-09-24,,,,,20,68,15,58,21,70,13,55,,,,,3.0,LOW,L,Low,24,Low chance of precipitation,06:49,18:55,,,,,3,MODERATE,M,Moderate,3,Sunny Intervals,A moderate breeze from the south,S,S,Southerly,25,16,2643743,Greater London
2023-09-23T10:53:00+01:00,2023-09-23T17:00:17.217+01:00,Sunny intervals and a gentle breeze,31,19,2023-09-25,,,,,22,72,12,53,23,74,9,49,,,,,2.0,LOW,L,Low,24,Low chance of precipitation,06:51,18:53,,,,,4,MODERATE,M,Moderate,3,Sunny Intervals,A gentle breeze from the south west,SW,SW,South Westerly,17,10,2643743,Greater London
2023-09-23T10:53:00+01:00,2023-09-23T17:00:17.217+01:00,Light rain showers and a moderate breeze,46,28,2023-09-26,,,,,22,71,11,52,23,73,9,48,,,,,2.0,LOW,L,Low,68,Chance of precipitation,06:52,18:51,,,,,3,MODERATE,M,Moderate,10,Light Rain Showers,A moderate breeze from the south west,SW,SW,South Westerly,24,15,2643743,Greater London
2023-09-23T10:53:00+01:00,2023-09-23T17:00:17.217+01:00,Light rain showers and a moderate breeze,61,38,2023-09-27,,,,,19,67,13,55,22,71,11,51,,,,,2.0,LOW,L,Low,70,Chance of precipitation,06:54,18:48,,,,,3,MODERATE,M,Moderate,10,Light Rain Showers,A moderate breeze from the south,S,S,Southerly,25,15,2643743,Greater London
2023-09-23T10:53:00+01:00,2023-09-23T17:00:17.217+01:00,Sunny intervals and a moderate breeze,48,30,2023-09-28,,,,,20,68,11,52,20,69,10,49,,,,,,,,,22,Low chance of precipitation,06:56,18:46,,,,,3,MODERATE,M,Moderate,3,Sunny Intervals,A moderate breeze from the south west,SW,SW,South Westerly,24,15,2643743,Greater London
2023-09-23T10:53:00+01:00,2023-09-23T17:00:17.217+01:00,Sunny and a moderate breeze,30,19,2023-09-29,,,,,19,67,11,51,20,68,6,43,,,,,,,,,13,Low chance of precipitation,06:57,18:44,,,,,4,MODERATE,M,Moderate,1,Sunny,A moderate breeze from the south west,SW,SW,South Westerly,20,13,2643743,Greater London
2023-09-23T10:53:00+01:00,2023-09-23T17:00:17.217+01:00,Sunny and a gentle breeze,36,22,2023-09-30,,,,,20,68,13,56,23,73,10,50,,,,,,,,,23,Low chance of precipitation,06:59,18:41,,,,,4,MODERATE,M,Moderate,1,Sunny,A gentle breeze from the south west,SW,SW,South Westerly,19,12,2643743,Greater London
2023-09-23T17:00:17+01:00,2023-09-23T17:00:17.217+01:00,Light rain and a moderate breeze,46,28,2023-10-01,,,,,20,68,12,53,23,74,8,46,,,,,,,,,56,Chance of precipitation,07:00,18:39,,,,,3,MODERATE,M,Moderate,12,Light Rain,A moderate breeze from the south west,SW,SW,South Westerly,22,14,2643743,Greater London
2023-09-23T17:00:17+01:00,2023-09-23T17:00:17.217+01:00,Sunny intervals and a gentle breeze,26,16,2023-10-02,,,,,20,68,10,51,24,75,6,43,,,,,,,,,16,Low chance of precipitation,07:02,18:37,,,,,4,MODERATE,M,Moderate,3,Sunny Intervals,A gentle breeze from the south west,SW,SW,South Westerly,16,10,2643743,Greater London
