issueDate,lastUpdated,report.enhancedWeatherDescription,report.gustSpeedKph,report.gustSpeedMph,report.localDate,report.lowermaxTemperatureC,report.lowermaxTemperatureF,report.lowerminTemperatureC,report.lowerminTemperatureF,report.maxTempC,report.maxTempF,report.minTempC,report.minTempF,report.mostLikelyHighTemperatureC,report.mostLikelyHighTemperatureF,report.mostLikelyLowTemperatureC,report.mostLikelyLowTemperatureF,report.pollenIndex,report.pollenIndexBand,report.pollenIndexIconText,report.pollenIndexText,report.pollutionIndex,report.pollutionIndexBand,report.pollutionIndexIconText,report.pollutionIndexText,report.precipitationProbabilityInPercent,report.precipitationProbabilityText,report.sunrise,report.sunset,report.uppermaxTemperatureC,report.uppermaxTemperatureF,report.upperminTemperatureC,report.upperminTemperatureF,report.uvIndex,report.uvIndexBand,report.uvIndexIconText,report.uvIndexText,report.weatherType,report.weatherTypeText,report.windDescription,report.windDirection,report.windDirectionAbbreviation,report.windDirectionFull,report.windSpeedKph,report.windSpeedMph,location_id,location_name
2022-08-15T23:00:00+02:00,2022-08-16T02:58:52.384+02:00,Light cloud and light winds,18,11,2022-08-15,,,,,26,78,19,66,27,80,18,65,,,,,,,,,8,Low chance of precipitation,06:43,21:07,,,,,0,LOW,L,Low,36,Light Cloud,Light winds from the south west,SW,SW,South Westerly,8,5,2988507,Paris
2022-08-15T23:00:00+02:00,2022-08-16T02:58:52.384+02:00,Light rain showers and a gentle breeze,34,21,2022-08-16,,,,,26,78,17,63,27,80,17,62,,,,,,,,,38,Chance of precipitation,06:44,21:05,,,,,3,MODERATE,M,Moderate,10,Light Rain Showers,A gentle breeze from the south,S,S,Southerly,13,8,2988507,Paris
2022-08-15T23:00:00+02:00,2022-08-16T02:58:52.384+02:00,Thundery showers and light winds,22,14,2022-08-17,,,,,24,75,16,61,25,77,16,60,,,,,,,,,57,Chance of precipitation,06:45,21:03,,,,,3,MODERATE,M,Moderate,29,Thundery Showers,Light winds from the south east,SE,SE,South Easterly,8,5,2988507,Paris
2022-08-15T23:00:00+02:00,2022-08-16T02:58:52.384+02:00,Light rain showers and a gentle breeze,35,22,2022-08-18,,,,,24,76,16,60,25,77,15,59,,,,,,,,,21,Low chance of precipitation,06:47,21:01,,,,,3,MODERATE,M,Moderate,10,Light Rain Showers,A gentle breeze from the north west,NW,NW,North Westerly,14,9,2988507,Paris
2022-08-15T23:00:00+02:00,2022-08-16T02:58:52.384+02:00,Light rain showers and a gentle breeze,40,25,2022-08-19,,,,,23,74,14,57,24,76,13,55,,,,,,,,,57,Chance of precipitation,06:48,20:59,,,,,3,MODERATE,M,Moderate,10,Light Rain Showers,A gentle breeze from the west,W,W,Westerly,17,11,2988507,Paris
2022-08-15T23:00:00+02:00,2022-08-16T02:58:52.384+02:00,Sunny intervals and a gentle breeze,36,22,2022-08-20,,,,,24,75,14,57,25,76,13,55,,,,,,,,,10,Low chance of precipitation,06:50,20:58,,,,,5,MODERATE,M,Moderate,3,Sunny Intervals,A gentle breeze from the west,W,W,Westerly,14,9,2988507,Paris
2022-08-15T23:00:00+02:00,2022-08-16T02:58:52.384+02:00,Sunny intervals and a gentle breeze,35,22,2022-08-21,,,,,23,74,16,61,25,76,14,58,,,,,,,,,17,Low chance of precipitation,06:51,20:56,,,,,4,MODERATE,M,Moderate,3,Sunny Intervals,A gentle breeze from the south west,SW,SW,South Westerly,14,9,2988507,Paris
2022-08-15T23:00:00+02:00,2022-08-16T02:58:52.384+02:00,Sunny intervals and a gentle breeze,36,22,2022-08-22,,,,,26,79,16,61,28,82,15,60,,,,,,,,,19,Low chance of precipitation,06:52,20:54,,,,,4,MODERATE,M,Moderate,3,Sunny Intervals,A gentle breeze from the south west,SW,SW,South Westerly,16,10,2988507,Paris
2022-08-16T02:58:52+02:00,2022-08-16T02:58:52.384+02:00,Sunny intervals and a gentle breeze,33,20,2022-08-23,,,,,29,83,17,62,31,87,15,60,,,,,,,,,7,Low chance of precipitation,06:54,20:52,,,,,5,MODERATE,M,Moderate,3,Sunny Intervals,A gentle breeze from the south west,SW,SW,South Westerly,14,8,2988507,Paris
2022-08-16T02:58:52+02:00,2022-08-16T02:58:52.384+02:00,Sunny and a gentle breeze,30,19,2022-08-24,,,,,31,87,17,63,33,92,15,59,,,,,,,,,7,Low chance of precipitation,06:55,20:50,,,,,6,HIGH,H,High,1,Sunny,A gentle breeze from the south east,SE,SE,South Easterly,13,8,2988507,Paris
2022-08-16T02:58:52+02:00,2022-08-16T02:58:52.384+02:00,Sunny intervals and a gentle breeze,33,20,2022-08-25,,,,,30,85,16,61,33,92,14,58,,,,,,,,,7,Low chance of precipitation,06:57,20:48,,,,,6,HIGH,H,High,3,Sunny Intervals,A gentle breeze from the north east,NE,NE,North Easterly,14,8,2988507,Paris
2022-08-16T02:58:52+02:00,2022-08-16T02:58:52.384+02:00,Sunny and a gentle breeze,34,21,2022-08-26,,,,,29,85,16,61,33,91,14,57,,,,,,,,,15,Low chance of precipitation,06:58,20:46,,,,,6,HIGH,H,High,1,Sunny,A gentle breeze from the north east,NE,NE,North Easterly,14,9,2988507,Paris
2022-08-16T02:58:52+02:00,2022-08-16T02:58:52.384+02:00,Sunny and a gentle breeze,34,21,2022-08-27,,,,,29,85,16,61,33,92,13,56,,,,,,,,,7,Low chance of precipitation,07:00,20:44,,,,,6,HIGH,H,High,1,Sunny,A gentle breeze from the north east,NE,NE,North Easterly,14,9,2988507,Paris
