issueDate,lastUpdated,report.enhancedWeatherDescription,report.gustSpeedKph,report.gustSpeedMph,report.localDate,report.lowermaxTemperatureC,report.lowermaxTemperatureF,report.lowerminTemperatureC,report.lowerminTemperatureF,report.maxTempC,report.maxTempF,report.minTempC,report.minTempF,report.mostLikelyHighTemperatureC,report.mostLikelyHighTemperatureF,report.mostLikelyLowTemperatureC,report.mostLikelyLowTemperatureF,report.pollenIndex,report.pollenIndexBand,report.pollenIndexIconText,report.pollenIndexText,report.pollutionIndex,report.pollutionIndexBand,report.pollutionIndexIconText,report.pollutionIndexText,report.precipitationProbabilityInPercent,report.precipitationProbabilityText,report.sunrise,report.sunset,report.uppermaxTemperatureC,report.uppermaxTemperatureF,report.upperminTemperatureC,report.upperminTemperatureF,report.uvIndex,report.uvIndexBand,report.uvIndexIconText,report.uvIndexText,report.weatherType,report.weatherTypeText,report.windDescription,report.windDirection,report.windDirectionAbbreviation,report.windDirectionFull,report.windSpeedKph,report.windSpeedMph,location_id,location_name
2023-02-28T20:00:00+11:00,2023-03-01T03:00:15.157+11:00,Partly cloudy and light winds,11,7,2023-02-28,,,,,26,79,22,71,27,81,21,69,,,,,,,,,18,Low chance of precipitation,06:42,19:34,,,,,0,LOW,L,Low,2,Partly Cloudy,Light winds from the west,W,W,Westerly,10,6,2147714,Sydney
2023-02-28T20:00:00+11:00,2023-03-01T03:00:15.157+11:00,Sunny intervals and a fresh breeze,57,36,2023-03-01,,,,,26,79,20,68,27,81,19,66,,,,,,,,,10,Low chance of precipitation,06:42,19:32,,,,,6,HIGH,H,High,3,Sunny Intervals,A fresh breeze from the south,S,S,Southerly,37,23,2147714,Sydney
2023-02-28T20:00:00+11:00,2023-03-01T03:00:15.157+11:00,Drizzle and a gentle breeze,21,13,2023-03-02,,,,,25,77,19,67,25,77,19,65,,,,,,,,,70,Chance of precipitation,06:43,19:31,,,,,3,MODERATE,M,Moderate,11,Drizzle,A gentle breeze from the south,S,S,Southerly,17,10,2147714,Sydney
2023-02-28T20:00:00+11:00,2023-03-01T03:00:15.157+11:00,Light rain and a gentle breeze,21,13,2023-03-03,,,,,24,76,19,66,26,78,18,65,,,,,,,,,70,Chance of precipitation,06:44,19:30,,,,,2,LOW,L,Low,12,Light Rain,A gentle breeze from the south east,SE,SE,South Easterly,17,11,2147714,Sydney
2023-02-28T20:00:00+11:00,2023-03-01T03:00:15.157+11:00,Light rain and a gentle breeze,24,15,2023-03-04,,,,,25,77,18,64,26,78,16,60,,,,,,,,,62,Chance of precipitation,06:45,19:29,,,,,5,MODERATE,M,Moderate,12,Light Rain,A gentle breeze from the east,E,E,Easterly,17,11,2147714,Sydney
2023-02-28T20:00:00+11:00,2023-03-01T03:00:15.157+11:00,Sunny and a moderate breeze,34,21,2023-03-05,,,,,26,79,19,65,27,80,18,64,,,,,,,,,11,Low chance of precipitation,06:46,19:27,,,,,7,HIGH,H,High,1,Sunny,A moderate breeze from the north east,NE,NE,North Easterly,27,17,2147714,Sydney
2023-02-28T20:00:00+11:00,2023-03-01T03:00:15.157+11:00,Sunny and a moderate breeze,32,20,2023-03-06,,,,,30,85,19,67,31,88,17,63,,,,,,,,,21,Low chance of precipitation,06:47,19:26,,,,,7,HIGH,H,High,1,Sunny,A moderate breeze from the north east,NE,NE,North Easterly,24,15,2147714,Sydney
2023-02-28T20:00:00+11:00,2023-03-01T03:00:15.157+11:00,Light rain showers and a gentle breeze,54,34,2023-03-07,,,,,30,86,18,64,34,93,16,60,,,,,,,,,45,Chance of precipitation,06:47,19:25,,,,,6,HIGH,H,High,10,Light Rain Showers,A gentle breeze from the north,N,N,Northerly,18,11,2147714,Sydney
2023-03-01T03:00:15+11:00,2023-03-01T03:00:15.157+11:00,Light rain showers and a gentle breeze,25,15,2023-03-08,,,,,27,80,17,63,30,86,16,61,,,,,,,,,30,Low chance of precipitation,06:48,19:24,,,,,7,HIGH,H,High,10,Light Rain Showers,A gentle breeze from the south west,SW,SW,South Westerly,16,10,2147714,Sydney
2023-03-01T03:00:15+11:00,2023-03-01T03:00:15.157+11:00,Light rain and a gentle breeze,24,15,2023-03-09,,,,,25,78,17,63,28,82,17,62,,,,,,,,,41,Chance of precipitation,06:49,19:22,,,,,6,HIGH,H,High,12,Light Rain,A gentle breeze from the south,S,S,Southerly,17,11,2147714,Sydney
