issueDate,lastUpdated,report.enhancedWeatherDescription,report.gustSpeedKph,report.gustSpeedMph,report.localDate,report.lowermaxTemperatureC,report.lowermaxTemperatureF,report.lowerminTemperatureC,report.lowerminTemperatureF,report.maxTempC,report.maxTempF,report.minTempC,report.minTempF,report.mostLikelyHighTemperatureC,report.mostLikelyHighTemperatureF,report.mostLikelyLowTemperatureC,report.mostLikelyLowTemperatureF,report.pollenIndex,report.pollenIndexBand,report.pollenIndexIconText,report.pollenIndexText,report.pollutionIndex,report.pollutionIndexBand,report.pollutionIndexIconText,report.pollutionIndexText,report.precipitationProbabilityInPercent,report.precipitationProbabilityText,report.sunrise,report.sunset,report.uppermaxTemperatureC,report.uppermaxTemperatureF,report.upperminTemperatureC,report.upperminTemperatureF,report.uvIndex,report.uvIndexBand,report.uvIndexIconText,report.uvIndexText,report.weatherType,report.weatherTypeText,report.windDescription,report.windDirection,report.windDirectionAbbreviation,report.windDirectionFull,report.windSpeedKph,report.windSpeedMph,location_id,location_name
2023-10-07T17:57:00-04:00,2023-10-08T04:01:57.218-04:00,A clear sky and a gentle breeze,24,15,2023-10-07,,,,,17,63,11,51,18,65,9,49,,,,,,,,,0,Precipitation is not expected,07:09,18:42,,,,,0,LOW,L,Low,0,Clear Sky,A gentle breeze from the west,W,W,Westerly,16,10,4140963,Washington DC
2023-10-07T17:57:00-04:00,2023-10-08T04:01:57.218-04:00,Sunny intervals and a moderate breeze,35,22,2023-10-08,,,,,17,63,7,45,18,65,6,43,,,,,,,,,0,Precipitation is not expected,07:10,18:40,,,,,5,MODERATE,M,Moderate,3,Sunny Intervals,A moderate breeze from the west,W,W,Westerly,23,14,4140963,Washington DC
2023-10-07T17:57:00-04:00,2023-10-08T04:01:57.218-04:00,Sunny intervals and a gentle breeze,29,18,2023-10-09,,,,,19,66,9,49,20,67,7,44,,,,,,,,,0,Precipitation is not expected,07:11,18:39,,,,,5,MODERATE,M,Moderate,3,Sunny Intervals,A gentle breeze from the south west,SW,SW,South Westerly,18,11,4140963,Washington DC
2023-10-07T17:57:00-04:00,2023-10-08T04:01:57.218-04:00,Sunny intervals and a gentle breeze,23,14,2023-10-10,,,,,21,69,8,46,22,72,7,44,,,,,,,,,7,Low chance of precipitation,07:12,18:37,,,,,5,MODERATE,M,Moderate,3,Sunny Intervals,A gentle breeze from the north west,NW,NW,North Westerly,15,9,4140963,Washington DC
2023-10-07T17:57:00-04:00,2023-10-08T04:01:57.218-04:00,Sunny and a gentle breeze,20,13,2023-10-11,,,,,21,71,10,50,23,73,7,44,,,,,,,,,0,Precipitation is not expected,07:13,18:36,,,,,6,HIGH,H,High,1,Sunny,A gentle breeze from the west,W,W,Westerly,13,8,4140963,Washington DC
2023-10-07T17:57:00-04:00,2023-10-08T04:01:57.218-04:00,Sunny and a gentle breeze,16,10,2023-10-12,,,,,23,73,13,55,26,79,11,52,,,,,,,,,12,Low chance of precipitation,07:14,18:34,,,,,6,HIGH,H,High,1,Sunny,A gentle breeze from the south west,SW,SW,South Westerly,13,8,4140963,Washington DC
2023-10-07T17:57:00-04:00,2023-10-08T04:01:57.218-04:00,Sunny and a gentle breeze,26,16,2023-10-13,,,,,24,74,16,62,26,78,14,57,,,,,,,,,3,Low chance of precipitation,07:15,18:33,,,,,5,MODERATE,M,Moderate,1,Sunny,A gentle breeze from the south,S,S,Southerly,19,12,4140963,Washington DC
2023-10-07T17:57:00-04:00,2023-10-08T04:01:57.218-04:00,Light rain showers and a moderate breeze,35,22,2023-10-14,,,,,20,68,12,53,23,73,8,46,,,,,,,,,70,Chance of precipitation,07:16,18:31,,,,,2,LOW,L,Low,10,Light Rain Showers,A moderate breeze from the north west,NW,NW,North Westerly,22,14,4140963,Washington DC
2023-10-08T04:01:57-04:00,2023-10-08T04:01:57.218-04:00,Light rain showers and a moderate breeze,46,28,2023-10-15,,,,,17,63,10,51,21,69,8,46,,,,,,,,,32,Chance of precipitation,07:17,18:30,,,,,4,MODERATE,M,Moderate,10,Light Rain Showers,A moderate breeze from the north west,NW,NW,North Westerly,24,15,4140963,Washington DC
2023-10-08T04:01:57-04:00,2023-10-08T04:01:57.218-04:00,Sunny intervals and a moderate breeze,49,31,2023-10-16,,,,,17,62,7,45,19,67,4,40,,,,,,,,,11,Low chance of precipitation,07:18,18:29,,,,,3,MODERATE,M,Moderate,3,Sunny Intervals,A moderate breeze from the north west,NW,NW,North Westerly,25,15,4140963,Washington DC
